Date,IT Dep.,CostElement,Country,Budget
1/06/2020,Administration,Internal Labor,United Kingdom,"-16,369"
1/07/2020,Administration,Internal Labor,United Kingdom,"-16,369"
1/08/2020,Administration,Internal Labor,United Kingdom,"-16,369"
1/09/2020,Administration,Internal Labor,United Kingdom,"-16,369"
1/10/2020,Administration,Internal Labor,United Kingdom,"-16,369"
1/11/2020,Administration,Internal Labor,United Kingdom,"-16,369"
1/12/2020,Administration,Internal Labor,United Kingdom,"-16,369"
1/01/2020,Administration,Internal Labor,USA,"106,524"
1/02/2020,Administration,Internal Labor,USA,"127,768"
1/03/2020,Administration,Internal Labor,USA,"111,520"
1/04/2020,Administration,Internal Labor,USA,"106,811"
1/05/2020,Administration,Internal Labor,USA,"106,811"
1/06/2020,Administration,Internal Labor,USA,"106,811"
1/07/2020,Administration,Internal Labor,USA,"107,178"
1/08/2020,Administration,Internal Labor,USA,"107,178"
1/09/2020,Administration,Internal Labor,USA,"107,178"
1/10/2020,Administration,Internal Labor,USA,"108,580"
1/11/2020,Administration,Internal Labor,USA,"108,580"
1/12/2020,Administration,Internal Labor,USA,"108,623"
1/06/2020,Administration,Moving,USA,"2,400"
1/01/2020,Administration,Other,United Kingdom,"-14,833"
1/02/2020,Administration,Other,United Kingdom,"-14,833"
1/03/2020,Administration,Other,United Kingdom,"-14,833"
1/04/2020,Administration,Other,United Kingdom,"-14,833"
1/05/2020,Administration,Other,United Kingdom,"-14,833"
1/06/2020,Administration,Other,United Kingdom,"-14,833"
1/07/2020,Administration,Other,United Kingdom,"-14,833"
1/08/2020,Administration,Other,United Kingdom,"-14,833"
1/09/2020,Administration,Other,United Kingdom,"-14,833"
1/10/2020,Administration,Other,United Kingdom,"-14,833"
1/11/2020,Administration,Other,United Kingdom,"-14,833"
1/12/2020,Administration,Other,United Kingdom,"-14,833"
1/01/2020,Administration,Other,USA,"30,632"
1/02/2020,Administration,Other,USA,632
1/03/2020,Administration,Other,USA,"21,182"
1/04/2020,Administration,Other,USA,632
1/05/2020,Administration,Other,USA,632
1/06/2020,Administration,Other,USA,"21,182"
1/07/2020,Administration,Other,USA,632
1/08/2020,Administration,Other,USA,"24,632"
1/09/2020,Administration,Other,USA,"20,132"
1/10/2020,Administration,Other,USA,"1,682"
1/11/2020,Administration,Other,USA,632
1/12/2020,Administration,Other,USA,"20,132"
1/01/2020,Administration,Outbound Allocations,United Kingdom,721
1/02/2020,Administration,Outbound Allocations,United Kingdom,721
1/03/2020,Administration,Outbound Allocations,United Kingdom,721
1/04/2020,Administration,Outbound Allocations,United Kingdom,721
1/05/2020,Administration,Outbound Allocations,United Kingdom,721
1/06/2020,Administration,Outbound Allocations,United Kingdom,721
1/07/2020,Administration,Outbound Allocations,United Kingdom,721
1/08/2020,Administration,Outbound Allocations,United Kingdom,721
1/09/2020,Administration,Outbound Allocations,United Kingdom,721
1/10/2020,Administration,Outbound Allocations,United Kingdom,721
1/11/2020,Administration,Outbound Allocations,United Kingdom,721
1/12/2020,Administration,Outbound Allocations,United Kingdom,721
1/01/2020,Administration,Recognition,USA,23
1/02/2020,Administration,Recognition,USA,23
1/03/2020,Administration,Recognition,USA,23
1/04/2020,Administration,Recognition,USA,23
1/05/2020,Administration,Recognition,USA,23
1/06/2020,Administration,Recognition,USA,23
1/07/2020,Administration,Recognition,USA,23
1/08/2020,Administration,Recognition,USA,23
1/09/2020,Administration,Recognition,USA,23
1/10/2020,Administration,Recognition,USA,23
1/11/2020,Administration,Recognition,USA,23
1/12/2020,Administration,Recognition,USA,23
1/01/2020,Administration,Supplies,USA,458
1/02/2020,Administration,Supplies,USA,458
1/03/2020,Administration,Supplies,USA,458
1/04/2020,Administration,Supplies,USA,458
1/05/2020,Administration,Supplies,USA,458
1/06/2020,Administration,Supplies,USA,458
1/07/2020,Administration,Supplies,USA,458
1/08/2020,Administration,Supplies,USA,458
1/09/2020,Administration,Supplies,USA,458
1/10/2020,Administration,Supplies,USA,458
1/11/2020,Administration,Supplies,USA,458
1/12/2020,Administration,Supplies,USA,458
1/01/2020,Administration,Telecomm,USA,"3,000"
1/02/2020,Administration,Telecomm,USA,"3,000"
1/03/2020,Administration,Telecomm,USA,"3,000"
1/04/2020,Administration,Telecomm,USA,"3,000"
1/05/2020,Administration,Telecomm,USA,"3,000"
1/06/2020,Administration,Telecomm,USA,"3,000"
1/07/2020,Administration,Telecomm,USA,"3,000"
1/08/2020,Administration,Telecomm,USA,"3,000"
1/09/2020,Administration,Telecomm,USA,"3,000"
1/10/2020,Administration,Telecomm,USA,"3,000"
1/11/2020,Administration,Telecomm,USA,"3,000"
1/12/2020,Administration,Telecomm,USA,"3,000"
1/03/2020,Administration,Training,USA,"1,458"
1/04/2020,Administration,Training,USA,"1,458"
1/05/2020,Administration,Training,USA,"1,563"
1/06/2020,Administration,Training,USA,"1,563"
1/07/2020,Administration,Training,USA,"1,563"
1/08/2020,Administration,Training,USA,"1,458"
1/09/2020,Administration,Training,USA,"1,458"
1/10/2020,Administration,Training,USA,"1,458"
1/03/2020,Administration,Travel,USA,"18,750"
1/06/2020,Administration,Travel,USA,"18,750"
1/09/2020,Administration,Travel,USA,"18,750"
1/12/2020,Administration,Travel,USA,"18,750"
1/01/2020,Architecture,Depreciation,USA,693
1/02/2020,Architecture,Depreciation,USA,693
1/03/2020,Architecture,Depreciation,USA,693
1/04/2020,Architecture,Depreciation,USA,693
1/05/2020,Architecture,Depreciation,USA,693
1/06/2020,Architecture,Depreciation,USA,693
1/07/2020,Architecture,Depreciation,USA,693
1/08/2020,Architecture,Depreciation,USA,693
1/09/2020,Architecture,Depreciation,USA,693
1/10/2020,Architecture,Depreciation,USA,693
1/11/2020,Architecture,Depreciation,USA,693
1/12/2020,Architecture,Depreciation,USA,693
1/01/2020,Architecture,Employee Performance,USA,58
1/02/2020,Architecture,Employee Performance,USA,58
1/03/2020,Architecture,Employee Performance,USA,58
1/04/2020,Architecture,Employee Performance,USA,58
1/05/2020,Architecture,Employee Performance,USA,58
1/06/2020,Architecture,Employee Performance,USA,58
1/07/2020,Architecture,Employee Performance,USA,58
1/08/2020,Architecture,Employee Performance,USA,58
1/09/2020,Architecture,Employee Performance,USA,58
1/10/2020,Architecture,Employee Performance,USA,58
1/11/2020,Architecture,Employee Performance,USA,58
1/12/2020,Architecture,Employee Performance,USA,58
1/01/2020,Architecture,External Labor,USA,"1,265"
1/02/2020,Architecture,External Labor,USA,"1,265"
1/03/2020,Architecture,External Labor,USA,"1,265"
1/04/2020,Architecture,External Labor,USA,"1,265"
1/05/2020,Architecture,External Labor,USA,"1,265"
1/06/2020,Architecture,External Labor,USA,"1,265"
1/07/2020,Architecture,External Labor,USA,"1,265"
1/08/2020,Architecture,External Labor,USA,"1,265"
1/09/2020,Architecture,External Labor,USA,"1,265"
1/10/2020,Architecture,External Labor,USA,"1,265"
1/11/2020,Architecture,External Labor,USA,"1,265"
1/12/2020,Architecture,External Labor,USA,"1,265"
1/01/2020,Architecture,Hardware,USA,"1,000"
1/02/2020,Architecture,Hardware,USA,"1,000"
1/03/2020,Architecture,Hardware,USA,"1,000"
1/04/2020,Architecture,Hardware,USA,"1,000"
1/05/2020,Architecture,Hardware,USA,"1,000"
1/06/2020,Architecture,Hardware,USA,"1,000"
1/07/2020,Architecture,Hardware,USA,"1,000"
1/08/2020,Architecture,Hardware,USA,"1,000"
1/09/2020,Architecture,Hardware,USA,"1,000"
1/10/2020,Architecture,Hardware,USA,"1,000"
1/11/2020,Architecture,Hardware,USA,"1,000"
1/12/2020,Architecture,Hardware,USA,"1,000"
1/01/2020,Architecture,Hardware Maintenance,USA,15
1/02/2020,Architecture,Hardware Maintenance,USA,15
1/03/2020,Architecture,Hardware Maintenance,USA,15
1/04/2020,Architecture,Hardware Maintenance,USA,15
1/05/2020,Architecture,Hardware Maintenance,USA,15
1/06/2020,Architecture,Hardware Maintenance,USA,15
1/07/2020,Architecture,Hardware Maintenance,USA,15
1/08/2020,Architecture,Hardware Maintenance,USA,15
1/09/2020,Architecture,Hardware Maintenance,USA,15
1/10/2020,Architecture,Hardware Maintenance,USA,15
1/11/2020,Architecture,Hardware Maintenance,USA,15
1/12/2020,Architecture,Hardware Maintenance,USA,15
1/01/2020,Architecture,Internal Labor,USA,"40,259"
1/02/2020,Architecture,Internal Labor,USA,"41,063"
1/03/2020,Architecture,Internal Labor,USA,"44,855"
1/04/2020,Architecture,Internal Labor,USA,"41,232"
1/05/2020,Architecture,Internal Labor,USA,"41,232"
1/06/2020,Architecture,Internal Labor,USA,"41,232"
1/07/2020,Architecture,Internal Labor,USA,"41,300"
1/08/2020,Architecture,Internal Labor,USA,"41,149"
1/09/2020,Architecture,Internal Labor,USA,"40,889"
1/10/2020,Architecture,Internal Labor,USA,"41,325"
1/11/2020,Architecture,Internal Labor,USA,"41,192"
1/12/2020,Architecture,Internal Labor,USA,"41,184"
1/01/2020,Architecture,Other,USA,300
1/02/2020,Architecture,Other,USA,300
1/03/2020,Architecture,Other,USA,"9,675"
1/04/2020,Architecture,Other,USA,300
1/05/2020,Architecture,Other,USA,300
1/06/2020,Architecture,Other,USA,300
1/07/2020,Architecture,Other,USA,300
1/08/2020,Architecture,Other,USA,300
1/09/2020,Architecture,Other,USA,"7,050"
1/10/2020,Architecture,Other,USA,"7,050"
1/11/2020,Architecture,Other,USA,"7,050"
1/12/2020,Architecture,Other,USA,"7,050"
1/01/2020,Architecture,Recognition,USA,15
1/02/2020,Architecture,Recognition,USA,15
1/03/2020,Architecture,Recognition,USA,15
1/04/2020,Architecture,Recognition,USA,15
1/05/2020,Architecture,Recognition,USA,15
1/06/2020,Architecture,Recognition,USA,15
1/07/2020,Architecture,Recognition,USA,15
1/08/2020,Architecture,Recognition,USA,15
1/09/2020,Architecture,Recognition,USA,15
1/10/2020,Architecture,Recognition,USA,15
1/11/2020,Architecture,Recognition,USA,15
1/12/2020,Architecture,Recognition,USA,15
1/01/2020,Architecture,Software,USA,625
1/02/2020,Architecture,Software,USA,625
1/03/2020,Architecture,Software,USA,625
1/04/2020,Architecture,Software,USA,625
1/05/2020,Architecture,Software,USA,625
1/06/2020,Architecture,Software,USA,625
1/07/2020,Architecture,Software,USA,625
1/08/2020,Architecture,Software,USA,625
1/09/2020,Architecture,Software,USA,625
1/10/2020,Architecture,Software,USA,625
1/11/2020,Architecture,Software,USA,625
1/12/2020,Architecture,Software,USA,625
1/01/2020,Architecture,Supplies,USA,311
1/02/2020,Architecture,Supplies,USA,311
1/03/2020,Architecture,Supplies,USA,311
1/04/2020,Architecture,Supplies,USA,311
1/05/2020,Architecture,Supplies,USA,311
1/06/2020,Architecture,Supplies,USA,311
1/07/2020,Architecture,Supplies,USA,311
1/08/2020,Architecture,Supplies,USA,311
1/09/2020,Architecture,Supplies,USA,311
1/10/2020,Architecture,Supplies,USA,311
1/11/2020,Architecture,Supplies,USA,311
1/12/2020,Architecture,Supplies,USA,311
1/01/2020,Architecture,Taxes,USA,28
1/02/2020,Architecture,Taxes,USA,28
1/03/2020,Architecture,Taxes,USA,28
1/04/2020,Architecture,Taxes,USA,28
1/05/2020,Architecture,Taxes,USA,28
1/06/2020,Architecture,Taxes,USA,28
1/07/2020,Architecture,Taxes,USA,28
1/08/2020,Architecture,Taxes,USA,28
1/09/2020,Architecture,Taxes,USA,28
1/10/2020,Architecture,Taxes,USA,28
1/11/2020,Architecture,Taxes,USA,28
1/12/2020,Architecture,Taxes,USA,28
1/01/2020,Architecture,Telecomm,USA,768
1/02/2020,Architecture,Telecomm,USA,768
1/03/2020,Architecture,Telecomm,USA,768
1/04/2020,Architecture,Telecomm,USA,768
1/05/2020,Architecture,Telecomm,USA,768
1/06/2020,Architecture,Telecomm,USA,768
1/07/2020,Architecture,Telecomm,USA,768
1/08/2020,Architecture,Telecomm,USA,768
1/09/2020,Architecture,Telecomm,USA,768
1/10/2020,Architecture,Telecomm,USA,768
1/11/2020,Architecture,Telecomm,USA,768
1/12/2020,Architecture,Telecomm,USA,768
1/01/2020,Architecture,Training,USA,119
1/02/2020,Architecture,Training,USA,"1,347"
1/03/2020,Architecture,Training,USA,"1,347"
1/04/2020,Architecture,Training,USA,"1,347"
1/05/2020,Architecture,Training,USA,"1,347"
1/06/2020,Architecture,Training,USA,"1,347"
1/07/2020,Architecture,Training,USA,"1,347"
1/08/2020,Architecture,Training,USA,"1,347"
1/09/2020,Architecture,Training,USA,"1,347"
1/10/2020,Architecture,Training,USA,"1,347"
1/11/2020,Architecture,Training,USA,"1,347"
1/12/2020,Architecture,Training,USA,119
1/02/2020,Architecture,Travel,USA,655
1/03/2020,Architecture,Travel,USA,655
1/04/2020,Architecture,Travel,USA,655
1/05/2020,Architecture,Travel,USA,655
1/06/2020,Architecture,Travel,USA,655
1/07/2020,Architecture,Travel,USA,655
1/08/2020,Architecture,Travel,USA,655
1/09/2020,Architecture,Travel,USA,655
1/10/2020,Architecture,Travel,USA,655
1/11/2020,Architecture,Travel,USA,655
1/06/2020,Business Intelligence,Administrative,USA,"-4,200"
1/07/2020,Business Intelligence,Administrative,USA,"-4,200"
1/08/2020,Business Intelligence,Administrative,USA,"-4,200"
1/09/2020,Business Intelligence,Administrative,USA,"-4,200"
1/10/2020,Business Intelligence,Administrative,USA,"-4,200"
1/11/2020,Business Intelligence,Administrative,USA,"-4,200"
1/12/2020,Business Intelligence,Administrative,USA,"-4,200"
1/01/2020,Business Intelligence,Employee Performance,USA,101
1/02/2020,Business Intelligence,Employee Performance,USA,101
1/03/2020,Business Intelligence,Employee Performance,USA,101
1/04/2020,Business Intelligence,Employee Performance,USA,101
1/05/2020,Business Intelligence,Employee Performance,USA,101
1/06/2020,Business Intelligence,Employee Performance,USA,101
1/07/2020,Business Intelligence,Employee Performance,USA,101
1/08/2020,Business Intelligence,Employee Performance,USA,101
1/09/2020,Business Intelligence,Employee Performance,USA,101
1/10/2020,Business Intelligence,Employee Performance,USA,101
1/11/2020,Business Intelligence,Employee Performance,USA,101
1/12/2020,Business Intelligence,Employee Performance,USA,101
1/01/2020,Business Intelligence,External Labor,USA,"10,271"
1/02/2020,Business Intelligence,External Labor,USA,"10,271"
1/03/2020,Business Intelligence,External Labor,USA,"10,271"
1/04/2020,Business Intelligence,External Labor,USA,"10,271"
1/05/2020,Business Intelligence,External Labor,USA,"10,271"
1/06/2020,Business Intelligence,External Labor,USA,"15,389"
1/07/2020,Business Intelligence,External Labor,USA,"15,389"
1/08/2020,Business Intelligence,External Labor,USA,"15,389"
1/09/2020,Business Intelligence,External Labor,USA,"15,389"
1/10/2020,Business Intelligence,External Labor,USA,"15,389"
1/11/2020,Business Intelligence,External Labor,USA,"15,389"
1/12/2020,Business Intelligence,External Labor,USA,"15,389"
1/01/2020,Business Intelligence,Hardware,USA,125
1/02/2020,Business Intelligence,Hardware,USA,125
1/03/2020,Business Intelligence,Hardware,USA,125
1/04/2020,Business Intelligence,Hardware,USA,125
1/05/2020,Business Intelligence,Hardware,USA,125
1/06/2020,Business Intelligence,Hardware,USA,125
1/07/2020,Business Intelligence,Hardware,USA,125
1/08/2020,Business Intelligence,Hardware,USA,125
1/09/2020,Business Intelligence,Hardware,USA,125
1/10/2020,Business Intelligence,Hardware,USA,125
1/11/2020,Business Intelligence,Hardware,USA,125
1/12/2020,Business Intelligence,Hardware,USA,125
1/01/2020,Business Intelligence,Hardware Maintenance,USA,125
1/02/2020,Business Intelligence,Hardware Maintenance,USA,125
1/03/2020,Business Intelligence,Hardware Maintenance,USA,125
1/04/2020,Business Intelligence,Hardware Maintenance,USA,125
1/05/2020,Business Intelligence,Hardware Maintenance,USA,125
1/06/2020,Business Intelligence,Hardware Maintenance,USA,125
1/07/2020,Business Intelligence,Hardware Maintenance,USA,125
1/08/2020,Business Intelligence,Hardware Maintenance,USA,125
1/09/2020,Business Intelligence,Hardware Maintenance,USA,125
1/10/2020,Business Intelligence,Hardware Maintenance,USA,125
1/11/2020,Business Intelligence,Hardware Maintenance,USA,125
1/12/2020,Business Intelligence,Hardware Maintenance,USA,125
1/01/2020,Business Intelligence,Internal Labor,USA,"59,420"
1/02/2020,Business Intelligence,Internal Labor,USA,"60,567"
1/03/2020,Business Intelligence,Internal Labor,USA,"65,940"
1/04/2020,Business Intelligence,Internal Labor,USA,"61,026"
1/05/2020,Business Intelligence,Internal Labor,USA,"61,026"
1/06/2020,Business Intelligence,Internal Labor,USA,"61,026"
1/07/2020,Business Intelligence,Internal Labor,USA,"61,455"
1/08/2020,Business Intelligence,Internal Labor,USA,"61,451"
1/09/2020,Business Intelligence,Internal Labor,USA,"61,206"
1/10/2020,Business Intelligence,Internal Labor,USA,"62,287"
1/11/2020,Business Intelligence,Internal Labor,USA,"61,467"
1/12/2020,Business Intelligence,Internal Labor,USA,"61,322"
1/01/2020,Business Intelligence,Other,USA,50
1/02/2020,Business Intelligence,Other,USA,50
1/03/2020,Business Intelligence,Other,USA,50
1/04/2020,Business Intelligence,Other,USA,50
1/05/2020,Business Intelligence,Other,USA,50
1/06/2020,Business Intelligence,Other,USA,50
1/07/2020,Business Intelligence,Other,USA,50
1/08/2020,Business Intelligence,Other,USA,50
1/09/2020,Business Intelligence,Other,USA,50
1/10/2020,Business Intelligence,Other,USA,50
1/11/2020,Business Intelligence,Other,USA,50
1/12/2020,Business Intelligence,Other,USA,50
1/01/2020,Business Intelligence,Recognition,USA,26
1/02/2020,Business Intelligence,Recognition,USA,26
1/03/2020,Business Intelligence,Recognition,USA,26
1/04/2020,Business Intelligence,Recognition,USA,26
1/05/2020,Business Intelligence,Recognition,USA,26
1/06/2020,Business Intelligence,Recognition,USA,26
1/07/2020,Business Intelligence,Recognition,USA,26
1/08/2020,Business Intelligence,Recognition,USA,26
1/09/2020,Business Intelligence,Recognition,USA,26
1/10/2020,Business Intelligence,Recognition,USA,26
1/11/2020,Business Intelligence,Recognition,USA,26
1/12/2020,Business Intelligence,Recognition,USA,26
1/01/2020,Business Intelligence,Software,USA,70
1/02/2020,Business Intelligence,Software,USA,70
1/03/2020,Business Intelligence,Software,USA,70
1/04/2020,Business Intelligence,Software,USA,70
1/05/2020,Business Intelligence,Software,USA,70
1/06/2020,Business Intelligence,Software,USA,70
1/07/2020,Business Intelligence,Software,USA,70
1/08/2020,Business Intelligence,Software,USA,70
1/09/2020,Business Intelligence,Software,USA,70
1/10/2020,Business Intelligence,Software,USA,70
1/11/2020,Business Intelligence,Software,USA,70
1/12/2020,Business Intelligence,Software,USA,70
1/07/2020,Business Intelligence,Software Maintenance,USA,"5,396"
1/01/2020,Business Intelligence,Supplies,USA,210
1/02/2020,Business Intelligence,Supplies,USA,210
1/03/2020,Business Intelligence,Supplies,USA,210
1/04/2020,Business Intelligence,Supplies,USA,210
1/05/2020,Business Intelligence,Supplies,USA,210
1/06/2020,Business Intelligence,Supplies,USA,210
1/07/2020,Business Intelligence,Supplies,USA,210
1/08/2020,Business Intelligence,Supplies,USA,210
1/09/2020,Business Intelligence,Supplies,USA,210
1/10/2020,Business Intelligence,Supplies,USA,210
1/11/2020,Business Intelligence,Supplies,USA,210
1/12/2020,Business Intelligence,Supplies,USA,210
1/01/2020,Business Intelligence,Telecomm,USA,840
1/02/2020,Business Intelligence,Telecomm,USA,840
1/03/2020,Business Intelligence,Telecomm,USA,840
1/04/2020,Business Intelligence,Telecomm,USA,840
1/05/2020,Business Intelligence,Telecomm,USA,840
1/06/2020,Business Intelligence,Telecomm,USA,840
1/07/2020,Business Intelligence,Telecomm,USA,840
1/08/2020,Business Intelligence,Telecomm,USA,840
1/09/2020,Business Intelligence,Telecomm,USA,840
1/10/2020,Business Intelligence,Telecomm,USA,840
1/11/2020,Business Intelligence,Telecomm,USA,840
1/12/2020,Business Intelligence,Telecomm,USA,840
1/01/2020,Business Intelligence,Training,USA,"1,505"
1/02/2020,Business Intelligence,Training,USA,"1,505"
1/03/2020,Business Intelligence,Training,USA,"1,505"
1/04/2020,Business Intelligence,Training,USA,"1,505"
1/05/2020,Business Intelligence,Training,USA,"1,505"
1/06/2020,Business Intelligence,Training,USA,"1,505"
1/07/2020,Business Intelligence,Training,USA,"1,505"
1/08/2020,Business Intelligence,Training,USA,"1,505"
1/09/2020,Business Intelligence,Training,USA,"1,505"
1/10/2020,Business Intelligence,Training,USA,"1,505"
1/11/2020,Business Intelligence,Training,USA,"1,505"
1/12/2020,Business Intelligence,Training,USA,"1,505"
1/01/2020,Business Intelligence,Travel,USA,875
1/02/2020,Business Intelligence,Travel,USA,"2,975"
1/03/2020,Business Intelligence,Travel,USA,875
1/04/2020,Business Intelligence,Travel,USA,875
1/05/2020,Business Intelligence,Travel,USA,"2,975"
1/06/2020,Business Intelligence,Travel,USA,875
1/07/2020,Business Intelligence,Travel,USA,875
1/08/2020,Business Intelligence,Travel,USA,"2,975"
1/09/2020,Business Intelligence,Travel,USA,875
1/10/2020,Business Intelligence,Travel,USA,875
1/11/2020,Business Intelligence,Travel,USA,"2,975"
1/12/2020,Business Intelligence,Travel,USA,875
1/01/2020,Core,Employee Performance,USA,29
1/02/2020,Core,Employee Performance,USA,29
1/03/2020,Core,Employee Performance,USA,29
1/04/2020,Core,Employee Performance,USA,29
1/05/2020,Core,Employee Performance,USA,29
1/06/2020,Core,Employee Performance,USA,29
1/07/2020,Core,Employee Performance,USA,29
1/08/2020,Core,Employee Performance,USA,29
1/09/2020,Core,Employee Performance,USA,29
1/10/2020,Core,Employee Performance,USA,29
1/11/2020,Core,Employee Performance,USA,29
1/12/2020,Core,Employee Performance,USA,29
1/01/2020,Core,Internal Labor,USA,"19,397"
1/02/2020,Core,Internal Labor,USA,"20,544"
1/03/2020,Core,Internal Labor,USA,"21,380"
1/04/2020,Core,Internal Labor,USA,"19,729"
1/05/2020,Core,Internal Labor,USA,"19,729"
1/06/2020,Core,Internal Labor,USA,"19,729"
1/07/2020,Core,Internal Labor,USA,"19,852"
1/08/2020,Core,Internal Labor,USA,"19,852"
1/09/2020,Core,Internal Labor,USA,"19,852"
1/10/2020,Core,Internal Labor,USA,"20,161"
1/11/2020,Core,Internal Labor,USA,"19,945"
1/12/2020,Core,Internal Labor,USA,"19,812"
1/01/2020,Core,Other,USA,400
1/02/2020,Core,Other,USA,400
1/03/2020,Core,Other,USA,400
1/04/2020,Core,Other,USA,400
1/05/2020,Core,Other,USA,400
1/06/2020,Core,Other,USA,400
1/07/2020,Core,Other,USA,400
1/08/2020,Core,Other,USA,400
1/09/2020,Core,Other,USA,400
1/10/2020,Core,Other,USA,400
1/11/2020,Core,Other,USA,400
1/12/2020,Core,Other,USA,400
1/01/2020,Core,Recognition,USA,8
1/02/2020,Core,Recognition,USA,8
1/03/2020,Core,Recognition,USA,8
1/04/2020,Core,Recognition,USA,8
1/05/2020,Core,Recognition,USA,8
1/06/2020,Core,Recognition,USA,8
1/07/2020,Core,Recognition,USA,8
1/08/2020,Core,Recognition,USA,8
1/09/2020,Core,Recognition,USA,8
1/10/2020,Core,Recognition,USA,8
1/11/2020,Core,Recognition,USA,8
1/12/2020,Core,Recognition,USA,8
1/01/2020,Core Infrastructure,Depreciation,Brazil,"18,716"
1/02/2020,Core Infrastructure,Depreciation,Brazil,"18,716"
1/03/2020,Core Infrastructure,Depreciation,Brazil,"18,716"
1/04/2020,Core Infrastructure,Depreciation,Brazil,"18,716"
1/05/2020,Core Infrastructure,Depreciation,Brazil,"18,716"
1/06/2020,Core Infrastructure,Depreciation,Brazil,"18,716"
1/07/2020,Core Infrastructure,Depreciation,Brazil,"18,716"
1/08/2020,Core Infrastructure,Depreciation,Brazil,"18,716"
1/09/2020,Core Infrastructure,Depreciation,Brazil,"18,716"
1/10/2020,Core Infrastructure,Depreciation,Brazil,"18,716"
1/11/2020,Core Infrastructure,Depreciation,Brazil,"18,716"
1/12/2020,Core Infrastructure,Depreciation,Brazil,"18,716"
1/01/2020,Core Infrastructure,Depreciation,Canada,"12,617"
1/02/2020,Core Infrastructure,Depreciation,Canada,"12,617"
1/03/2020,Core Infrastructure,Depreciation,Canada,"12,617"
1/04/2020,Core Infrastructure,Depreciation,Canada,"12,617"
1/05/2020,Core Infrastructure,Depreciation,Canada,"12,617"
1/06/2020,Core Infrastructure,Depreciation,Canada,"12,617"
1/07/2020,Core Infrastructure,Depreciation,Canada,"12,617"
1/08/2020,Core Infrastructure,Depreciation,Canada,"12,617"
1/09/2020,Core Infrastructure,Depreciation,Canada,"12,617"
1/10/2020,Core Infrastructure,Depreciation,Canada,"12,617"
1/11/2020,Core Infrastructure,Depreciation,Canada,"12,617"
1/12/2020,Core Infrastructure,Depreciation,Canada,"12,617"
1/01/2020,Core Infrastructure,Depreciation,Mexico,"4,616"
1/02/2020,Core Infrastructure,Depreciation,Mexico,"4,616"
1/03/2020,Core Infrastructure,Depreciation,Mexico,"4,616"
1/04/2020,Core Infrastructure,Depreciation,Mexico,"4,616"
1/05/2020,Core Infrastructure,Depreciation,Mexico,"4,616"
1/06/2020,Core Infrastructure,Depreciation,Mexico,"4,616"
1/07/2020,Core Infrastructure,Depreciation,Mexico,"4,616"
1/08/2020,Core Infrastructure,Depreciation,Mexico,"4,616"
1/09/2020,Core Infrastructure,Depreciation,Mexico,"4,616"
1/10/2020,Core Infrastructure,Depreciation,Mexico,"4,616"
1/11/2020,Core Infrastructure,Depreciation,Mexico,"4,616"
1/12/2020,Core Infrastructure,Depreciation,Mexico,"4,616"
1/01/2020,Core Infrastructure,Depreciation,New Zealand,"82,256"
1/02/2020,Core Infrastructure,Depreciation,New Zealand,"82,256"
1/03/2020,Core Infrastructure,Depreciation,New Zealand,"82,256"
1/04/2020,Core Infrastructure,Depreciation,New Zealand,"82,353"
