Date,IT Dep.,CostElement,Country,Forecast
1/02/2020,Architecture,Travel,USA,109
1/03/2020,Architecture,Travel,USA,"1,649"
1/05/2020,Architecture,Travel,USA,"2,399"
1/06/2020,Architecture,Travel,USA,"4,446"
1/07/2020,Architecture,Travel,USA,442
1/08/2020,Architecture,Travel,USA,442
1/09/2020,Architecture,Travel,USA,442
1/10/2020,Architecture,Travel,USA,442
1/11/2020,Architecture,Travel,USA,442
1/07/2020,Business Intelligence,Administrative,USA,-225
1/08/2020,Business Intelligence,Administrative,USA,-225
1/09/2020,Business Intelligence,Administrative,USA,-225
1/10/2020,Business Intelligence,Administrative,USA,-225
1/11/2020,Business Intelligence,Administrative,USA,-225
1/12/2020,Business Intelligence,Administrative,USA,-225
1/03/2020,Business Intelligence,CAPEX,USA,"-4,080"
1/04/2020,Business Intelligence,CAPEX,USA,336
1/06/2020,Business Intelligence,CAPEX,USA,"4,195"
1/01/2020,Business Intelligence,Employee Performance,USA,2
1/02/2020,Business Intelligence,Employee Performance,USA,22
1/03/2020,Business Intelligence,Employee Performance,USA,75
1/04/2020,Business Intelligence,Employee Performance,USA,4
1/05/2020,Business Intelligence,Employee Performance,USA,38
1/06/2020,Business Intelligence,Employee Performance,USA,16
1/07/2020,Business Intelligence,Employee Performance,USA,191
1/08/2020,Business Intelligence,Employee Performance,USA,191
1/09/2020,Business Intelligence,Employee Performance,USA,191
1/10/2020,Business Intelligence,Employee Performance,USA,191
1/11/2020,Business Intelligence,Employee Performance,USA,191
1/12/2020,Business Intelligence,Employee Performance,USA,191
1/01/2020,Business Intelligence,External Labor,USA,"3,636"
1/02/2020,Business Intelligence,External Labor,USA,"16,966"
1/03/2020,Business Intelligence,External Labor,USA,"8,366"
1/04/2020,Business Intelligence,External Labor,USA,"8,371"
1/05/2020,Business Intelligence,External Labor,USA,"29,540"
1/06/2020,Business Intelligence,External Labor,USA,"1,089"
1/07/2020,Business Intelligence,External Labor,USA,"16,007"
1/08/2020,Business Intelligence,External Labor,USA,"16,007"
1/09/2020,Business Intelligence,External Labor,USA,"16,007"
1/10/2020,Business Intelligence,External Labor,USA,"16,007"
1/11/2020,Business Intelligence,External Labor,USA,"16,007"
1/12/2020,Business Intelligence,External Labor,USA,"16,007"
1/03/2020,Business Intelligence,Hardware,USA,426
1/04/2020,Business Intelligence,Hardware,USA,4
1/05/2020,Business Intelligence,Hardware,USA,111
1/06/2020,Business Intelligence,Hardware,USA,"1,192"
1/07/2020,Business Intelligence,Hardware,USA,136
1/08/2020,Business Intelligence,Hardware,USA,136
1/09/2020,Business Intelligence,Hardware,USA,136
1/10/2020,Business Intelligence,Hardware,USA,136
1/11/2020,Business Intelligence,Hardware,USA,136
1/12/2020,Business Intelligence,Hardware,USA,136
1/07/2020,Business Intelligence,Hardware Maintenance,USA,136
1/08/2020,Business Intelligence,Hardware Maintenance,USA,136
1/09/2020,Business Intelligence,Hardware Maintenance,USA,136
1/10/2020,Business Intelligence,Hardware Maintenance,USA,136
1/11/2020,Business Intelligence,Hardware Maintenance,USA,136
1/12/2020,Business Intelligence,Hardware Maintenance,USA,136
1/01/2020,Business Intelligence,Internal Labor,USA,"64,388"
1/02/2020,Business Intelligence,Internal Labor,USA,"63,595"
1/03/2020,Business Intelligence,Internal Labor,USA,"70,502"
1/04/2020,Business Intelligence,Internal Labor,USA,"64,353"
1/05/2020,Business Intelligence,Internal Labor,USA,"61,849"
1/06/2020,Business Intelligence,Internal Labor,USA,"62,593"
1/07/2020,Business Intelligence,Internal Labor,USA,"63,985"
1/08/2020,Business Intelligence,Internal Labor,USA,"63,981"
1/09/2020,Business Intelligence,Internal Labor,USA,"63,736"
1/10/2020,Business Intelligence,Internal Labor,USA,"64,817"
1/11/2020,Business Intelligence,Internal Labor,USA,"63,997"
1/12/2020,Business Intelligence,Internal Labor,USA,"63,852"
1/02/2020,Business Intelligence,Other,USA,454
1/03/2020,Business Intelligence,Other,USA,2
1/04/2020,Business Intelligence,Other,USA,12
1/07/2020,Business Intelligence,Other,USA,100
1/08/2020,Business Intelligence,Other,USA,100
1/09/2020,Business Intelligence,Other,USA,100
1/10/2020,Business Intelligence,Other,USA,100
1/11/2020,Business Intelligence,Other,USA,100
1/12/2020,Business Intelligence,Other,USA,100
1/07/2020,Business Intelligence,Recognition,USA,56
1/08/2020,Business Intelligence,Recognition,USA,56
1/09/2020,Business Intelligence,Recognition,USA,56
1/10/2020,Business Intelligence,Recognition,USA,56
1/11/2020,Business Intelligence,Recognition,USA,56
1/12/2020,Business Intelligence,Recognition,USA,56
1/07/2020,Business Intelligence,Software,USA,93
1/08/2020,Business Intelligence,Software,USA,93
1/09/2020,Business Intelligence,Software,USA,93
1/10/2020,Business Intelligence,Software,USA,93
1/11/2020,Business Intelligence,Software,USA,93
1/12/2020,Business Intelligence,Software,USA,93
1/04/2020,Business Intelligence,Software Maintenance,USA,"3,772"
1/06/2020,Business Intelligence,Software Maintenance,USA,"-3,772"
1/07/2020,Business Intelligence,Software Maintenance,USA,"5,501"
1/08/2020,Business Intelligence,Software Maintenance,USA,105
1/09/2020,Business Intelligence,Software Maintenance,USA,105
1/10/2020,Business Intelligence,Software Maintenance,USA,105
1/11/2020,Business Intelligence,Software Maintenance,USA,105
1/12/2020,Business Intelligence,Software Maintenance,USA,105
1/01/2020,Business Intelligence,Supplies,USA,19
1/02/2020,Business Intelligence,Supplies,USA,18
1/03/2020,Business Intelligence,Supplies,USA,336
1/04/2020,Business Intelligence,Supplies,USA,136
1/05/2020,Business Intelligence,Supplies,USA,107
1/07/2020,Business Intelligence,Supplies,USA,210
1/08/2020,Business Intelligence,Supplies,USA,210
1/09/2020,Business Intelligence,Supplies,USA,210
1/10/2020,Business Intelligence,Supplies,USA,210
1/11/2020,Business Intelligence,Supplies,USA,210
1/12/2020,Business Intelligence,Supplies,USA,210
1/02/2020,Business Intelligence,Telecomm,USA,272
1/03/2020,Business Intelligence,Telecomm,USA,368
1/04/2020,Business Intelligence,Telecomm,USA,111
1/06/2020,Business Intelligence,Telecomm,USA,407
1/07/2020,Business Intelligence,Telecomm,USA,150
1/08/2020,Business Intelligence,Telecomm,USA,150
1/09/2020,Business Intelligence,Telecomm,USA,150
1/10/2020,Business Intelligence,Telecomm,USA,150
1/11/2020,Business Intelligence,Telecomm,USA,150
1/12/2020,Business Intelligence,Telecomm,USA,150
1/02/2020,Business Intelligence,Training,USA,567
1/03/2020,Business Intelligence,Training,USA,264
1/04/2020,Business Intelligence,Training,USA,884
1/06/2020,Business Intelligence,Training,USA,"1,013"
1/07/2020,Business Intelligence,Training,USA,"2,555"
1/08/2020,Business Intelligence,Training,USA,"2,555"
1/09/2020,Business Intelligence,Training,USA,"2,555"
1/10/2020,Business Intelligence,Training,USA,"2,555"
1/11/2020,Business Intelligence,Training,USA,"2,555"
1/12/2020,Business Intelligence,Training,USA,"2,555"
1/02/2020,Business Intelligence,Travel,USA,2
1/04/2020,Business Intelligence,Travel,USA,659
1/05/2020,Business Intelligence,Travel,USA,134
1/06/2020,Business Intelligence,Travel,USA,"1,260"
1/07/2020,Business Intelligence,Travel,USA,"2,108"
1/08/2020,Business Intelligence,Travel,USA,"4,208"
1/09/2020,Business Intelligence,Travel,USA,"2,108"
1/10/2020,Business Intelligence,Travel,USA,"2,108"
1/11/2020,Business Intelligence,Travel,USA,"4,208"
1/12/2020,Business Intelligence,Travel,USA,"2,108"
1/02/2020,Core,Employee Performance,USA,60
1/04/2020,Core,Employee Performance,USA,53
1/06/2020,Core,Employee Performance,USA,784
1/07/2020,Core,Employee Performance,USA,29
1/08/2020,Core,Employee Performance,USA,29
1/09/2020,Core,Employee Performance,USA,29
1/10/2020,Core,Employee Performance,USA,29
1/11/2020,Core,Employee Performance,USA,29
1/12/2020,Core,Employee Performance,USA,29
1/01/2020,Core,External Labor,USA,"1,723"
1/02/2020,Core,External Labor,USA,"5,168"
1/03/2020,Core,External Labor,USA,"-1,723"
1/04/2020,Core,External Labor,USA,"4,573"
1/05/2020,Core,External Labor,USA,"4,573"
1/06/2020,Core,External Labor,USA,"1,766"
1/07/2020,Core,External Labor,USA,"3,000"
1/08/2020,Core,External Labor,USA,"3,000"
1/09/2020,Core,External Labor,USA,"3,000"
1/10/2020,Core,External Labor,USA,"3,000"
1/03/2020,Core,Hardware,USA,10
1/05/2020,Core,Hardware,USA,176
1/01/2020,Core,Internal Labor,USA,"20,476"
1/02/2020,Core,Internal Labor,USA,"21,254"
1/03/2020,Core,Internal Labor,USA,"23,722"
1/04/2020,Core,Internal Labor,USA,"20,209"
1/05/2020,Core,Internal Labor,USA,"19,502"
1/06/2020,Core,Internal Labor,USA,"19,660"
1/07/2020,Core,Internal Labor,USA,"36,254"
1/08/2020,Core,Internal Labor,USA,"36,254"
1/09/2020,Core,Internal Labor,USA,"36,254"
1/10/2020,Core,Internal Labor,USA,"36,254"
1/11/2020,Core,Internal Labor,USA,"36,254"
1/12/2020,Core,Internal Labor,USA,"36,254"
1/04/2020,Core,Other,USA,24
1/05/2020,Core,Other,USA,39
1/07/2020,Core,Other,USA,"32,296"
1/08/2020,Core,Other,USA,"32,296"
1/09/2020,Core,Other,USA,"32,296"
1/10/2020,Core,Other,USA,"32,296"
1/11/2020,Core,Other,USA,"32,296"
1/12/2020,Core,Other,USA,"32,296"
1/07/2020,Core,Recognition,USA,8
1/08/2020,Core,Recognition,USA,8
1/09/2020,Core,Recognition,USA,8
1/10/2020,Core,Recognition,USA,8
1/11/2020,Core,Recognition,USA,8
1/12/2020,Core,Recognition,USA,8
1/06/2020,Core,Software,USA,73
1/02/2020,Core,Telecomm,United Kingdom,166
1/02/2020,Core,Telecomm,USA,"1,017"
1/03/2020,Core,Telecomm,USA,232
1/04/2020,Core,Telecomm,USA,340
1/06/2020,Core,Telecomm,USA,458
1/01/2020,Core,Training,USA,399
1/02/2020,Core,Training,USA,326
1/01/2020,Core,Travel,USA,108
1/02/2020,Core,Travel,USA,479
1/03/2020,Core,Travel,USA,"3,773"
1/04/2020,Core,Travel,USA,"2,607"
1/05/2020,Core,Travel,USA,625
1/06/2020,Core,Travel,USA,634
1/07/2020,Core Infrastructure,Administrative,Brazil,"-71,184"
1/08/2020,Core Infrastructure,Administrative,Brazil,"-71,184"
1/09/2020,Core Infrastructure,Administrative,Brazil,"-71,184"
1/10/2020,Core Infrastructure,Administrative,Brazil,"-71,184"
1/11/2020,Core Infrastructure,Administrative,Brazil,"-71,184"
1/12/2020,Core Infrastructure,Administrative,Brazil,"-71,184"
1/01/2020,Core Infrastructure,Amortization,Mexico,691
1/02/2020,Core Infrastructure,Amortization,Mexico,"1,009"
1/03/2020,Core Infrastructure,Amortization,Mexico,"1,002"
1/04/2020,Core Infrastructure,Amortization,Mexico,"1,351"
1/05/2020,Core Infrastructure,Amortization,Mexico,"1,393"
1/06/2020,Core Infrastructure,Amortization,Mexico,"1,383"
1/07/2020,Core Infrastructure,Amortization,Mexico,"-1,138"
1/08/2020,Core Infrastructure,Amortization,Mexico,"-1,138"
1/09/2020,Core Infrastructure,Amortization,Mexico,"-1,138"
1/10/2020,Core Infrastructure,Amortization,Mexico,"-1,138"
1/11/2020,Core Infrastructure,Amortization,Mexico,"-1,138"
1/12/2020,Core Infrastructure,Amortization,Mexico,"-1,138"
1/01/2020,Core Infrastructure,Depreciation,Brazil,"14,333"
1/02/2020,Core Infrastructure,Depreciation,Brazil,"12,901"
1/03/2020,Core Infrastructure,Depreciation,Brazil,"13,464"
1/04/2020,Core Infrastructure,Depreciation,Brazil,"12,224"
1/05/2020,Core Infrastructure,Depreciation,Brazil,"17,711"
1/06/2020,Core Infrastructure,Depreciation,Brazil,"12,884"
1/07/2020,Core Infrastructure,Depreciation,Brazil,"23,512"
1/08/2020,Core Infrastructure,Depreciation,Brazil,"23,512"
