channel;DateKey;DiscountAmount;DiscountQuantity;Product_ID;PromotionKey;ReturnAmount;ReturnQuantity;SalesAmount;SalesKey;SalesQuantity;StoreKey;TotalCost;UnitCost;UnitPrice
1;01/01/2011 0:00;5,138;4;68;2;25,69;1;97,622;1;4;282;52,4;13,1;25,69
1;01/01/2011 0:00;5,138;1;69;10;0;0;97,622;1;4;221;52,4;13,1;25,69
1;01/01/2011 0:00;8,4995;1;116;2;0;0;671,4605;1;4;103;346,68;86,67;169,99
1;01/01/2011 0:00;25,4985;3;116;2;0;0;654,4615;1;4;160;346,68;86,67;169,99
1;01/01/2011 0:00;33,998;4;117;2;0;0;645,962;1;4;96;346,68;86,67;169,99
1;01/01/2011 0:00;0;0;118;2;0;0;679,96;1;4;287;346,68;86,67;169,99
1;01/01/2011 0:00;50,997;2;118;5;169,99;1;968,943;1;6;259;520,02;86,67;169,99
1;01/01/2011 0:00;33,998;1;118;10;0;0;645,962;1;4;214;346,68;86,67;169,99
1;01/01/2011 0:00;67,996;2;118;10;169,99;1;611,964;1;4;305;346,68;86,67;169,99
1;01/01/2011 0:00;17,9985;3;119;2;0;0;461,9615;1;4;192;244,68;61,17;119,99
1;01/01/2011 0:00;47,996;2;119;10;119,99;1;431,964;1;4;305;244,68;61,17;119,99
1;01/01/2011 0:00;5,9995;1;120;2;0;0;473,9605;1;4;78;244,68;61,17;119,99
1;01/01/2011 0:00;47,996;2;120;10;0;0;431,964;1;4;242;244,68;61,17;119,99
1;01/01/2011 0:00;0;0;121;2;0;0;479,96;1;4;64;244,68;61,17;119,99
1;01/01/2011 0:00;0;0;122;2;0;0;2519,91;1;9;156;1158,84;128,76;279,99
1;01/01/2011 0:00;125,9955;3;122;5;0;0;3513,8745;1;13;251;1673,88;128,76;279,99
1;01/01/2011 0:00;111,996;2;122;10;0;0;2127,924;1;8;233;1030,08;128,76;279,99
1;01/01/2011 0:00;223,992;4;122;10;0;0;2015,928;1;8;241;1030,08;128,76;279,99
1;01/01/2011 0:00;13,9995;1;123;2;0;0;2505,9105;1;9;37;1158,84;128,76;279,99
1;01/01/2011 0:00;55,998;4;123;2;0;0;2463,912;1;9;58;1158,84;128,76;279,99
1;01/01/2011 0:00;41,9985;3;123;2;0;0;2477,9115;1;9;85;1158,84;128,76;279,99
1;01/01/2011 0:00;27,999;2;124;2;279,99;1;2491,911;1;9;13;1030,08;128,76;279,99
1;01/01/2011 0:00;0;0;124;2;0;0;2519,91;1;9;123;1158,84;128,76;279,99
1;01/01/2011 0:00;21,51;3;125;2;0;0;552,09;1;4;130;292,44;73,11;143,4
1;01/01/2011 0:00;64,53;3;125;5;0;0;795,87;1;6;268;438,66;73,11;143,4
1;01/01/2011 0:00;0;0;126;2;143,4;1;573,6;1;4;42;292,44;73,11;143,4
1;01/01/2011 0:00;7,17;1;126;2;0;0;566,43;1;4;61;292,44;73,11;143,4
1;01/01/2011 0:00;14,34;2;126;2;0;0;559,26;1;4;140;292,44;73,11;143,4
1;01/01/2011 0:00;14,34;2;127;2;0;0;559,26;1;4;285;292,44;73,11;143,4
1;01/01/2011 0:00;21,51;3;128;2;0;0;552,09;1;4;27;292,44;73,11;143,4
1;01/01/2011 0:00;14,34;2;128;2;0;0;559,26;1;4;81;292,44;73,11;143,4
1;01/01/2011 0:00;93,994;4;153;2;0;0;4135,736;1;9;149;1945,08;216,12;469,97
1;01/01/2011 0:00;0;0;154;2;0;0;4229,73;1;9;85;1945,08;216,12;469,97
1;01/01/2011 0:00;0;0;154;2;0;0;4229,73;1;9;135;1945,08;216,12;469,97
1;01/01/2011 0:00;187,988;2;154;10;0;0;3571,772;1;8;249;1728,96;216,12;469,97
1;01/01/2011 0:00;23,4985;1;155;2;0;0;4206,2315;1;9;171;1945,08;216,12;469,97
1;01/01/2011 0:00;23,4985;1;155;2;0;0;4206,2315;1;9;290;1945,08;216,12;469,97
1;01/01/2011 0:00;93,994;4;156;2;469,97;1;4135,736;1;9;125;1728,96;216,12;469,97
1;01/01/2011 0:00;0;0;156;5;0;0;6109,61;1;13;260;2809,56;216,12;469,97
1;01/01/2011 0:00;281,982;3;156;10;0;0;3477,778;1;8;303;1728,96;216,12;469,97
1;01/01/2011 0:00;114,5265;3;165;2;0;0;6757,0635;1;9;39;3503,34;389,26;763,51
1;01/01/2011 0:00;114,5265;3;165;2;0;0;6757,0635;1;9;171;3503,34;389,26;763,51
1;01/01/2011 0:00;458,106;4;165;5;0;0;9467,524;1;13;269;5060,38;389,26;763,51
1;01/01/2011 0:00;10,35;3;167;2;69;1;265,65;1;4;13;140,72;35,18;69
1;01/01/2011 0:00;17,85;3;169;2;0;0;1053,15;1;9;147;492,48;54,72;119
1;01/01/2011 0:00;5,45;1;170;2;0;0;975,55;1;9;92;451,17;50,13;109
1;01/01/2011 0:00;10,9;2;170;2;0;0;970,1;1;9;134;451,17;50,13;109
1;01/01/2011 0:00;43,6;2;170;10;0;0;828,4;1;8;219;401,04;50,13;109
1;01/01/2011 0:00;50,76;2;176;10;0;0;964,44;1;8;245;466,88;58,36;126,9
1;01/01/2011 0:00;2,845;1;177;2;0;0;224,755;1;4;140;116,04;29,01;56,9
1;01/01/2011 0:00;2,845;1;177;2;0;0;224,755;1;4;180;116,04;29,01;56,9
1;01/01/2011 0:00;6,6;2;178;2;0;0;257,4;1;4;175;134,6;33,65;66
1;01/01/2011 0:00;13,2;4;178;2;0;0;250,8;1;4;180;134,6;33,65;66
1;01/01/2011 0:00;0;0;178;5;66;1;396;1;6;276;201,9;33,65;66
1;01/01/2011 0:00;0;0;180;2;0;0;276;1;4;9;140,72;35,18;69
1;01/01/2011 0:00;0;0;182;2;0;0;1071;1;9;49;492,48;54,72;119
1;01/01/2011 0:00;0;0;182;2;0;0;1071;1;9;50;492,48;54,72;119
1;01/01/2011 0:00;17,85;3;182;2;0;0;1053,15;1;9;58;492,48;54,72;119
1;01/01/2011 0:00;17,85;3;182;2;0;0;1053,15;1;9;92;492,48;54,72;119
1;01/01/2011 0:00;17,85;3;182;2;119;1;1053,15;1;9;157;437,76;54,72;119
1;01/01/2011 0:00;47,6;2;182;10;0;0;904,4;1;8;239;437,76;54,72;119
1;01/01/2011 0:00;16,35;3;183;2;0;0;964,65;1;9;83;451,17;50,13;109
1;01/01/2011 0:00;87,2;4;183;10;0;0;784,8;1;8;243;401,04;50,13;109
1;01/01/2011 0:00;76,14;3;189;10;126,9;1;939,06;1;8;211;408,52;58,36;126,9
1;01/01/2011 0:00;50,76;2;189;10;0;0;964,44;1;8;242;466,88;58,36;126,9
1;01/01/2011 0:00;2,845;1;190;2;0;0;224,755;1;4;36;116,04;29,01;56,9
1;01/01/2011 0:00;34,14;4;190;5;0;0;307,26;1;6;264;174,06;29,01;56,9
1;01/01/2011 0:00;0;0;190;5;0;0;341,4;1;6;294;174,06;29,01;56,9
1;01/01/2011 0:00;3,3;1;191;2;0;0;260,7;1;4;52;134,6;33,65;66
1;01/01/2011 0:00;3,3;1;191;2;66;1;260,7;1;4;92;134,6;33,65;66
1;01/01/2011 0:00;0;0;191;2;0;0;264;1;4;121;134,6;33,65;66
1;01/01/2011 0:00;19,8;2;191;5;0;0;376,2;1;6;260;201,9;33,65;66
1;01/01/2011 0:00;29,9;2;194;2;0;0;1166,1;1;4;117;609,76;152,44;299
1;01/01/2011 0:00;0;0;196;2;0;0;1079,6;1;4;112;550,4;137,6;269,9
1;01/01/2011 0:00;53,98;4;196;2;0;0;1025,62;1;4;118;550,4;137,6;269,9
1;01/01/2011 0:00;53,98;4;196;2;0;0;1025,62;1;4;138;550,4;137,6;269,9
1;01/01/2011 0:00;40,485;3;196;2;0;0;1039,115;1;4;170;550,4;137,6;269,9
1;01/01/2011 0:00;161,94;3;196;10;269,9;1;917,66;1;4;244;550,4;137,6;269,9
1;01/01/2011 0:00;59,98;4;197;2;0;0;1139,62;1;4;288;611,6;152,9;299,9
1;01/01/2011 0:00;44,985;1;197;5;0;0;1754,415;1;6;267;917,4;152,9;299,9
1;01/01/2011 0:00;0;0;206;2;0;0;5121;1;9;118;2354,94;261,66;569
1;01/01/2011 0:00;113,8;4;206;2;569;1;5007,2;1;9;195;2093,28;261,66;569
1;01/01/2011 0:00;227,6;2;206;10;0;0;4324,4;1;8;213;2093,28;261,66;569
1;01/01/2011 0:00;26,99;2;212;2;0;0;1052,61;1;4;162;550,4;137,6;269,9
1;01/01/2011 0:00;44,985;3;213;2;0;0;1154,615;1;4;38;611,6;152,9;299,9
1;01/01/2011 0:00;59,98;4;213;2;0;0;1139,62;1;4;61;611,6;152,9;299,9
1;01/01/2011 0:00;44,985;3;213;2;0;0;1154,615;1;4;196;611,6;152,9;299,9
1;01/01/2011 0:00;85,35;3;222;2;0;0;5035,65;1;9;69;2354,94;261,66;569
1;01/01/2011 0:00;455,2;4;222;10;0;0;4096,8;1;8;213;2093,28;261,66;569
1;01/01/2011 0:00;59,8;4;226;2;0;0;1136,2;1;4;59;609,76;152,44;299
1;01/01/2011 0:00;29,9;2;226;2;0;0;1166,1;1;4;69;609,76;152,44;299
1;01/01/2011 0:00;59,8;4;226;2;0;0;1136,2;1;4;141;609,76;152,44;299
1;01/01/2011 0:00;14,95;1;226;2;0;0;1181,05;1;4;170;609,76;152,44;299
1;01/01/2011 0:00;0;0;228;2;0;0;1079,6;1;4;142;550,4;137,6;269,9
1;01/01/2011 0:00;40,485;3;228;2;0;0;1039,115;1;4;188;550,4;137,6;269,9
1;01/01/2011 0:00;80,97;2;228;5;0;0;1538,43;1;6;256;825,6;137,6;269,9
1;01/01/2011 0:00;0;0;229;2;299,9;1;1199,6;1;4;66;611,6;152,9;299,9
1;01/01/2011 0:00;44,985;3;229;2;0;0;1154,615;1;4;186;611,6;152,9;299,9
1;01/01/2011 0:00;0;0;229;5;299,9;1;1799,4;1;6;276;917,4;152,9;299,9
1;01/01/2011 0:00;28,45;1;238;2;0;0;5092,55;1;9;149;2354,94;261,66;569
1;01/01/2011 0:00;28,45;1;238;2;0;0;5092,55;1;9;184;2354,94;261,66;569
1;01/01/2011 0:00;14,95;1;240;2;0;0;1181,05;1;4;66;609,76;152,44;299
1;01/01/2011 0:00;0;0;240;2;0;0;1196;1;4;103;609,76;152,44;299
1;01/01/2011 0:00;0;0;240;2;0;0;1196;1;4;127;609,76;152,44;299
1;01/01/2011 0:00;59,8;4;240;2;0;0;1136,2;1;4;161;609,76;152,44;299
1;01/01/2011 0:00;14,95;1;240;2;0;0;1181,05;1;4;184;609,76;152,44;299
1;01/01/2011 0:00;59,8;4;240;2;0;0;1136,2;1;4;195;609,76;152,44;299
1;01/01/2011 0:00;59,8;1;240;10;299;1;1136,2;1;4;210;609,76;152,44;299
1;01/01/2011 0:00;0;0;240;10;0;0;1196;1;4;247;609,76;152,44;299
1;01/01/2011 0:00;0;0;241;2;0;0;2961;1;9;47;1509,57;167,73;329
1;01/01/2011 0:00;0;0;243;2;0;0;3681;1;9;180;1876,68;208,52;409
1;01/01/2011 0:00;343,2;4;244;10;0;0;3088,8;1;8;212;1578,24;197,28;429
1;01/01/2011 0:00;0;0;244;10;0;0;3432;1;8;247;1578,24;197,28;429
1;01/01/2011 0:00;32,9;2;246;2;0;0;2928,1;1;9;191;1509,57;167,73;329
1;01/01/2011 0:00;19,95;1;248;2;399;1;3571,05;1;9;10;1467,92;183,49;399
1;01/01/2011 0:00;19,95;1;248;2;0;0;3571,05;1;9;64;1651,41;183,49;399
1;01/01/2011 0:00;9,95;1;249;2;0;0;786,05;1;4;113;405,84;101,46;199
1;01/01/2011 0:00;39,8;4;249;2;199;1;756,2;1;4;132;405,84;101,46;199
1;01/01/2011 0:00;19,9;2;249;2;0;0;776,1;1;4;167;405,84;101,46;199
1;01/01/2011 0:00;159,2;4;249;10;0;0;636,8;1;4;305;405,84;101,46;199
1;01/01/2011 0:00;59,8;1;253;10;0;0;1136,2;1;4;217;609,76;152,44;299
1;01/01/2011 0:00;32,9;2;254;2;0;0;2928,1;1;9;86;1509,57;167,73;329
1;01/01/2011 0:00;49,35;3;254;2;329;1;2911,65;1;9;150;1341,84;167,73;329
1;01/01/2011 0:00;32,9;2;254;2;0;0;2928,1;1;9;163;1509,57;167,73;329
1;01/01/2011 0:00;65,8;4;254;2;0;0;2895,2;1;9;188;1509,57;167,73;329
1;01/01/2011 0:00;32,9;2;254;2;0;0;2928,1;1;9;198;1509,57;167,73;329
1;01/01/2011 0:00;0;0;256;2;0;0;3681;1;9;285;1876,68;208,52;409
1;01/01/2011 0:00;64,35;3;257;2;0;0;3796,65;1;9;162;1775,52;197,28;429
1;01/01/2011 0:00;39,9;2;261;2;0;0;3551,1;1;9;172;1651,41;183,49;399
1;01/01/2011 0:00;19,9;2;262;2;199;1;776,1;1;4;111;405,84;101,46;199
1;01/01/2011 0:00;59,8;4;266;2;0;0;1136,2;1;4;127;609,76;152,44;299
1;01/01/2011 0:00;59,8;4;266;2;0;0;1136,2;1;4;149;609,76;152,44;299
1;01/01/2011 0:00;49,35;3;267;2;0;0;2911,65;1;9;117;1509,57;167,73;329
1;01/01/2011 0:00;44,45;1;268;2;0;0;7956,55;1;9;43;2650,86;294,54;889
1;01/01/2011 0:00;0;0;268;2;0;0;8001;1;9;96;2650,86;294,54;889
1;01/01/2011 0:00;85,8;4;270;2;0;0;3775,2;1;9;14;1775,52;197,28;429
1;01/01/2011 0:00;16,45;1;272;2;0;0;2944,55;1;9;59;1509,57;167,73;329
1;01/01/2011 0:00;49,35;1;272;5;0;0;4227,65;1;13;268;2180,49;167,73;329
1;01/01/2011 0:00;119,7;2;274;5;0;0;5067,3;1;13;255;2385,37;183,49;399
1;01/01/2011 0:00;29,85;1;275;5;0;0;1164,15;1;6;270;608,76;101,46;199
1;01/01/2011 0:00;39,8;1;275;10;0;0;756,2;1;4;233;405,84;101,46;199
1;01/01/2011 0:00;44,85;3;279;2;0;0;1151,15;1;4;68;609,76;152,44;299
1;01/01/2011 0:00;88,9;2;281;2;0;0;7912,1;1;9;102;2650,86;294,54;889
1;01/01/2011 0:00;533,4;4;281;5;0;0;11023,6;1;13;295;3829,02;294,54;889
1;01/01/2011 0:00;711,2;4;281;10;0;0;6400,8;1;8;224;2356,32;294,54;889
1;01/01/2011 0:00;85,8;4;283;2;0;0;3775,2;1;9;59;1775,52;197,28;429
1;01/01/2011 0:00;42,9;2;283;2;429;1;3818,1;1;9;163;1578,24;197,28;429
1;01/01/2011 0:00;263,2;4;285;10;329;1;2368,8;1;8;210;1174,11;167,73;329
1;01/01/2011 0:00;0;0;287;2;0;0;3591;1;9;193;1651,41;183,49;399
1;01/01/2011 0:00;29,85;3;288;2;0;0;766,15;1;4;43;405,84;101,46;199
1;01/01/2011 0:00;9,95;1;288;2;0;0;786,05;1;4;61;405,84;101,46;199
1;01/01/2011 0:00;19,9;2;288;2;0;0;776,1;1;4;96;405,84;101,46;199
1;01/01/2011 0:00;29,85;3;288;2;0;0;766,15;1;4;178;405,84;101,46;199
1;01/01/2011 0:00;39,8;4;288;2;0;0;756,2;1;4;180;405,84;101,46;199
1;01/01/2011 0:00;29,85;1;288;5;0;0;1164,15;1;6;254;608,76;101,46;199
1;01/01/2011 0:00;50;2;292;2;0;0;4450;1;9;9;2069,37;229,93;500
1;01/01/2011 0:00;75;3;292;2;0;0;4425;1;9;188;2069,37;229,93;500
1;01/01/2011 0:00;99,8;4;293;2;0;0;4391,2;1;9;116;2065,23;229,47;499
1;01/01/2011 0:00;149,7;2;293;5;0;0;6337,3;1;13;256;2983,11;229,47;499
1;01/01/2011 0:00;399,2;4;293;10;499;1;3592,8;1;8;204;1606,29;229,47;499
1;01/01/2011 0:00;14,95;1;294;2;0;0;2676,05;1;9;44;1371,96;152,44;299
1;01/01/2011 0:00;44,85;3;294;2;0;0;2646,15;1;9;85;1371,96;152,44;299
1;01/01/2011 0:00;29,9;2;294;2;0;0;2661,1;1;9;190;1371,96;152,44;299
1;01/01/2011 0:00;29,9;2;294;2;0;0;2661,1;1;9;283;1371,96;152,44;299
1;01/01/2011 0:00;44,85;1;294;5;0;0;3842,15;1;13;267;1981,72;152,44;299
1;01/01/2011 0:00;13,95;1;295;2;0;0;1102,05;1;4;283;568,96;142,24;279
1;01/01/2011 0:00;223,2;4;295;10;0;0;892,8;1;4;226;568,96;142,24;279
1;01/01/2011 0:00;38,85;3;296;2;0;0;997,15;1;4;288;528,2;132,05;259
1;01/01/2011 0:00;13,45;1;297;2;0;0;1062,55;1;4;88;548,56;137,14;269
1;01/01/2011 0:00;53,8;4;297;2;0;0;1022,2;1;4;124;548,56;137,14;269
1;01/01/2011 0:00;26,9;2;297;2;0;0;1049,1;1;4;290;548,56;137,14;269
1;01/01/2011 0:00;0;0;297;10;0;0;1076;1;4;303;548,56;137,14;269
1;01/01/2011 0:00;0;0;298;2;0;0;2781;1;9;157;1417,86;157,54;309
1;01/01/2011 0:00;0;0;298;2;0;0;2781;1;9;162;1417,86;157,54;309
1;01/01/2011 0:00;123,6;2;298;10;0;0;2348,4;1;8;233;1260,32;157,54;309
1;01/01/2011 0:00;0;0;298;10;0;0;2472;1;8;236;1260,32;157,54;309
1;01/01/2011 0:00;19,9;2;299;2;0;0;776,1;1;4;92;405,84;101,46;199
1;01/01/2011 0:00;9,95;1;299;2;0;0;786,05;1;4;134;405,84;101,46;199
1;01/01/2011 0:00;43,8;1;300;10;219;1;832,2;1;4;205;446,6;111,65;219
1;01/01/2011 0:00;63,8;4;301;2;0;0;2807,2;1;9;163;1463,76;162,64;319
1;01/01/2011 0:00;63,8;1;301;10;0;0;2488,2;1;8;202;1301,12;162,64;319
1;01/01/2011 0:00;100;4;308;2;0;0;4400;1;9;17;2069,37;229,93;500
1;01/01/2011 0:00;25;1;308;2;500;1;4475;1;9;67;1839,44;229,93;500
1;01/01/2011 0:00;75;3;308;2;0;0;8925;1;18;190;4138,74;229,93;500
1;01/01/2011 0:00;0;0;308;2;0;0;4500;1;9;291;2069,37;229,93;500
1;01/01/2011 0:00;0;0;308;10;0;0;4000;1;8;212;1839,44;229,93;500
1;01/01/2011 0:00;399,2;4;309;10;0;0;3592,8;1;8;305;1835,76;229,47;499
1;01/01/2011 0:00;179,4;4;310;5;0;0;3707,6;1;13;277;1981,72;152,44;299
1;01/01/2011 0:00;0;0;311;2;0;0;1116;1;4;92;568,96;142,24;279
1;01/01/2011 0:00;55,8;4;311;2;0;0;1060,2;1;4;164;568,96;142,24;279
1;01/01/2011 0:00;27,9;2;311;2;0;0;1088,1;1;4;192;568,96;142,24;279
1;01/01/2011 0:00;38,85;3;312;2;0;0;997,15;1;4;43;528,2;132,05;259
1;01/01/2011 0:00;25,9;2;312;2;0;0;1010,1;1;4;49;528,2;132,05;259
1;01/01/2011 0:00;25,9;2;312;2;0;0;1010,1;1;4;287;528,2;132,05;259
1;01/01/2011 0:00;207,2;4;312;10;0;0;828,8;1;4;208;528,2;132,05;259
1;01/01/2011 0:00;0;0;314;2;0;0;2781;1;9;37;1417,86;157,54;309
1;01/01/2011 0:00;39,8;4;315;2;199;1;756,2;1;4;111;405,84;101,46;199
1;01/01/2011 0:00;0;0;315;2;0;0;796;1;4;156;405,84;101,46;199
1;01/01/2011 0:00;43,8;4;316;2;0;0;832,2;1;4;43;446,6;111,65;219
1;01/01/2011 0:00;131,4;4;316;5;0;0;1182,6;1;6;278;669,9;111,65;219
1;01/01/2011 0:00;255,2;4;317;10;0;0;2296,8;1;8;202;1301,12;162,64;319
1;01/01/2011 0:00;100;4;324;2;0;0;4400;1;9;287;2069,37;229,93;500
1;01/01/2011 0:00;49,9;2;325;2;0;0;4441,1;1;9;10;2065,23;229,47;499
1;01/01/2011 0:00;74,85;3;325;2;0;0;4416,15;1;9;63;2065,23;229,47;499
1;01/01/2011 0:00;0;0;325;2;499;1;4491;1;9;86;1835,76;229,47;499
1;01/01/2011 0:00;299,4;3;325;10;499;1;3692,6;1;8;218;1606,29;229,47;499
1;01/01/2011 0:00;14,95;1;326;2;0;0;2676,05;1;9;162;1371,96;152,44;299
1;01/01/2011 0:00;55,8;4;327;2;0;0;1060,2;1;4;61;568,96;142,24;279
1;01/01/2011 0:00;0;0;327;2;0;0;1116;1;4;139;568,96;142,24;279
1;01/01/2011 0:00;167,4;4;327;5;0;0;1506,6;1;6;253;853,44;142,24;279
1;01/01/2011 0:00;207,2;4;328;10;0;0;828,8;1;4;209;528,2;132,05;259
1;01/01/2011 0:00;53,8;4;329;2;0;0;1022,2;1;4;39;548,56;137,14;269
1;01/01/2011 0:00;40,35;3;329;2;0;0;1035,65;1;4;83;548,56;137,14;269
1;01/01/2011 0:00;121,05;3;329;5;0;0;1492,95;1;6;269;822,84;137,14;269
1;01/01/2011 0:00;107,6;2;329;10;0;0;968,4;1;4;202;548,56;137,14;269
1;01/01/2011 0:00;215,2;4;329;10;0;0;860,8;1;4;304;548,56;137,14;269
1;01/01/2011 0:00;0;0;330;2;0;0;2781;1;9;34;1417,86;157,54;309
1;01/01/2011 0:00;0;0;330;2;0;0;2781;1;9;99;1417,86;157,54;309
1;01/01/2011 0:00;39,8;4;331;2;0;0;756,2;1;4;16;405,84;101,46;199
1;01/01/2011 0:00;9,95;1;331;2;199;1;786,05;1;4;125;405,84;101,46;199
1;01/01/2011 0:00;0;0;332;2;0;0;876;1;4;85;446,6;111,65;219
1;01/01/2011 0:00;47,85;3;333;2;0;0;2823,15;1;9;147;1463,76;162,64;319
1;01/01/2011 0:00;119,9;2;338;2;0;0;10671,1;1;9;45;3575,25;397,25;1199
1;01/01/2011 0:00;0;0;338;10;0;0;9592;1;8;216;3178;397,25;1199
1;01/01/2011 0:00;48,35;1;341;2;0;0;8654,65;1;9;45;4002,21;444,69;967
1;01/01/2011 0:00;0;0;341;2;0;0;8703;1;9;78;4002,21;444,69;967
1;01/01/2011 0:00;0;0;342;2;0;0;5391;1;9;159;2479,14;275,46;599
1;01/01/2011 0:00;54,95;1;343;2;0;0;9836,05;1;9;31;3277,08;364,12;1099
1;01/01/2011 0:00;34,95;1;345;2;0;0;6256,05;1;9;53;2892,96;321,44;699
1;01/01/2011 0:00;0;0;346;10;0;0;5272;1;8;303;2424,4;303,05;659
1;01/01/2011 0:00;113,7;3;348;2;0;0;6708,3;1;9;97;3137,22;348,58;758
1;01/01/2011 0:00;37,9;1;348;2;0;0;6784,1;1;9;188;3137,22;348,58;758
1;01/01/2011 0:00;113,7;1;348;5;0;0;9740,3;1;13;267;4531,54;348,58;758
1;01/01/2011 0:00;137,07;2;356;5;0;0;5802,63;1;13;298;2731,43;210,11;456,9
1;01/01/2011 0:00;49,5;1;357;5;0;0;1930,5;1;6;296;1009,44;168,24;330
1;01/01/2011 0:00;38;2;360;2;0;0;3382;1;9;2;1743,66;193,74;380
1;01/01/2011 0:00;228;4;360;5;0;0;4712;1;13;252;2518,62;193,74;380
1;01/01/2011 0:00;114;2;360;5;0;0;4826;1;13;268;2518,62;193,74;380
1;01/01/2011 0:00;139,8;4;363;2;0;0;6151,2;1;9;61;2892,96;321,44;699
1;01/01/2011 0:00;359,4;4;365;5;0;0;7427,6;1;13;276;3580,98;275,46;599
1;01/01/2011 0:00;0;0;368;2;0;0;11691;1;9;25;3873,42;430,38;1299
1;01/01/2011 0:00;75,8;2;372;2;758;1;6746,2;1;9;90;2788,64;348,58;758
1;01/01/2011 0:00;0;0;377;2;0;0;5391;1;9;177;2479,14;275,46;599
1;01/01/2011 0:00;89,85;3;377;2;0;0;5301,15;1;9;193;2479,14;275,46;599
1;01/01/2011 0:00;0;0;378;10;0;0;6064;1;8;228;2788,64;348,58;758
1;01/01/2011 0:00;0;0;379;10;0;0;1304;1;4;219;664,8;166,2;326
1;01/01/2011 0:00;195,6;3;379;10;0;0;1108,4;1;4;228;664,8;166,2;326
1;01/01/2011 0:00;59,9;2;383;2;0;0;5331,1;1;9;5;2479,14;275,46;599
1;01/01/2011 0:00;119,8;1;383;10;0;0;4672,2;1;8;237;2203,68;275,46;599
