ContinentName,GeographyType,RegionCountryName,GeographyKey
North America,City,United States,508
North America,City,United States,516
North America,City,United States,520
North America,City,United States,522
North America,City,United States,523
North America,City,United States,527
North America,City,United States,535
North America,City,United States,536
North America,City,United States,537
North America,City,United States,538
North America,City,United States,546
North America,City,United States,547
North America,City,United States,551
North America,City,United States,552
North America,City,United States,559
North America,City,United States,560
North America,City,United States,566
North America,City,United States,570
North America,City,United States,573
North America,City,United States,575
North America,City,United States,577
North America,City,United States,578
North America,City,United States,579
North America,City,United States,580
North America,City,United States,581
North America,City,United States,582
North America,City,United States,583
North America,City,United States,584
North America,City,United States,593
North America,City,United States,594
North America,City,United States,597
North America,City,United States,600
North America,City,United States,601
North America,City,United States,602
North America,City,United States,603
North America,City,United States,604
North America,City,United States,605
North America,City,United States,606
North America,City,United States,607
North America,City,United States,609
North America,City,United States,610
North America,City,United States,611
North America,City,United States,612
North America,City,United States,614
North America,City,United States,617
North America,City,United States,618
North America,City,United States,619
North America,City,United States,620
North America,City,United States,625
North America,City,United States,627
North America,City,United States,631
North America,City,United States,633
North America,City,United States,642
North America,City,United States,643
North America,City,United States,644
North America,City,United States,645
North America,City,United States,652
North America,City,United States,653
North America,City,United States,658
North America,City,United States,660
North America,City,United States,667
North America,City,United States,670
North America,City,United States,677
North America,City,United States,678
North America,City,United States,686
North America,City,United States,688
North America,City,United States,689
North America,City,United States,690
North America,City,United States,691
North America,City,United States,693
North America,City,United States,694
North America,City,United States,703
North America,City,United States,707
North America,City,United States,782
North America,City,United States,783
North America,City,United States,784
North America,City,United States,785
North America,City,United States,786
North America,City,United States,787
North America,City,United States,788
North America,City,United States,789
North America,City,United States,790
North America,City,United States,791
North America,City,United States,792
North America,City,United States,793
North America,City,United States,794
North America,City,United States,795
North America,City,United States,796
North America,City,United States,797
North America,City,United States,798
North America,City,United States,799
North America,City,United States,800
North America,City,United States,801
North America,City,United States,802
North America,City,United States,803
North America,City,United States,804
North America,City,United States,805
North America,City,United States,806
North America,City,United States,807
North America,City,United States,808
North America,City,United States,809
North America,City,United States,810
North America,City,United States,811
North America,City,United States,812
North America,City,United States,813
North America,City,United States,814
North America,City,United States,815
North America,City,United States,816
North America,City,United States,817
North America,City,United States,818
North America,City,United States,819
North America,City,United States,820
North America,City,United States,821
North America,City,United States,822
North America,City,United States,823
North America,City,United States,824
North America,City,United States,825
North America,City,United States,826
North America,City,United States,827
North America,City,United States,828
North America,City,United States,829
North America,City,United States,830
North America,City,United States,831
North America,City,United States,832
North America,City,United States,833
North America,City,United States,834
North America,City,United States,835
North America,City,United States,836
North America,City,United States,837
North America,City,United States,838
North America,City,United States,839
North America,City,United States,840
North America,City,United States,841
North America,City,United States,842
North America,City,United States,843
North America,City,United States,844
North America,City,United States,845
North America,City,United States,846
North America,City,United States,847
North America,City,United States,848
North America,City,United States,849
North America,City,United States,850
North America,City,United States,851
North America,City,United States,852
North America,City,United States,853
North America,City,United States,854
North America,City,United States,855
North America,City,United States,856
North America,City,United States,857
North America,City,United States,858
North America,City,United States,859
North America,City,United States,860
North America,City,United States,861
North America,City,United States,862
North America,City,United States,863
North America,City,United States,864
North America,City,United States,865
North America,City,United States,866
North America,City,United States,867
North America,City,United States,868
North America,City,United States,869
North America,City,United States,870
North America,City,United States,871
North America,City,United States,872
North America,City,United States,873
North America,City,United States,874
North America,City,United States,875
North America,City,United States,876
North America,City,United States,877
North America,City,United States,878
North America,City,United States,879
North America,City,United States,880
North America,City,United States,882
North America,City,United States,883
North America,City,United States,884
North America,City,United States,885
North America,City,United States,886
North America,City,United States,887
North America,City,United States,888
North America,City,United States,889
North America,City,United States,890
North America,City,United States,891
North America,City,United States,892
North America,City,United States,893
North America,City,United States,894
North America,City,United States,895
North America,City,United States,896
North America,City,United States,897
North America,City,United States,898
North America,City,United States,899
North America,City,United States,900
North America,City,United States,901
North America,City,United States,902
North America,City,United States,904
North America,City,United States,905
North America,City,United States,906
North America,City,United States,907
North America,City,United States,908
North America,City,United States,909
North America,City,United States,910
North America,City,United States,911
North America,City,United States,912
North America,City,United States,913
North America,City,United States,914
North America,City,United States,915
North America,City,United States,916
North America,City,United States,917
North America,City,United States,918
North America,City,United States,919
North America,City,United States,920
North America,City,United States,921
North America,City,United States,922
North America,City,United States,923
North America,City,United States,924
North America,City,United States,925
North America,City,United States,926
North America,City,United States,927
North America,City,United States,928
North America,City,United States,929
North America,City,United States,930
North America,City,United States,931
North America,City,United States,932
North America,City,United States,933
North America,City,United States,934
North America,City,United States,935
North America,City,United States,936
North America,City,United States,937
North America,City,United States,938
North America,City,United States,939
North America,City,United States,940
North America,City,United States,941
North America,City,United States,943
North America,City,United States,944
North America,City,United States,945
North America,City,United States,946
North America,City,United States,947
North America,City,United States,948
North America,City,United States,949
North America,City,United States,950
North America,City,United States,951
North America,City,United States,952
North America,Continent,"",3
North America,Country/Region,Canada,301
North America,Country/Region,United States,302
North America,State/Province,Canada,367
North America,State/Province,Canada,368
North America,State/Province,Canada,377
North America,State/Province,Canada,378
North America,State/Province,United States,366
North America,State/Province,United States,369
North America,State/Province,United States,370
North America,State/Province,United States,371
North America,State/Province,United States,372
North America,State/Province,United States,373
North America,State/Province,United States,374
North America,State/Province,United States,375
North America,State/Province,United States,376
North America,State/Province,United States,379
North America,State/Province,United States,380
North America,State/Province,United States,381
North America,State/Province,United States,382
North America,State/Province,United States,383
North America,State/Province,United States,386
North America,State/Province,United States,390
North America,State/Province,United States,392
North America,State/Province,United States,394
North America,State/Province,United States,396
North America,State/Province,United States,397
North America,State/Province,United States,401
North America,State/Province,United States,406
North America,State/Province,United States,408
North America,State/Province,United States,409
North America,State/Province,United States,411
North America,State/Province,United States,415
North America,State/Province,United States,417
North America,State/Province,United States,421
North America,State/Province,United States,422
