Backorder Risk;Distribution Center;Location;Product ID;Risk Score
46;Center E;USA;10040214;Low
46;Center E;USA;10040344;Low
46;Center F;USA;10040045;Low
46;Center F;USA;10040345;Low
46;Center G;USA;10040086;Low
46;Center H;USA;10040077;Low
46;Center I;USA;10040468;Low
46;Center J;USA;10040119;Low
47;Center B;USA;10040001;Low
47;Center B;USA;10040391;Low
47;Center C;USA;10039992;Low
47;Center C;USA;10040312;Low
47;Center C;USA;10040442;Low
47;Center D;USA;10040423;Low
47;Center E;USA;10039974;Low
47;Center E;USA;10040234;Low
47;Center F;USA;10040325;Low
47;Center F;USA;10040355;Low
47;Center G;USA;10039956;Low
47;Center I;USA;10040148;Low
47;Center I;USA;10040398;Low
47;Center J;USA;10040169;Low
47;Center J;USA;10040229;Low
48;Center A;USA;10040230;Low
48;Center B;USA;10039941;Low
48;Center B;USA;10040381;Low
48;Center C;USA;10039922;Low
48;Center C;USA;10040402;Low
48;Center F;USA;10039935;Low
48;Center F;USA;10039965;Low
48;Center G;USA;10040266;Low
48;Center J;USA;10040099;Low
49;Center A;USA;10040480;Low
49;Center F;USA;10040135;Low
49;Center F;USA;10040415;Low
49;Center F;USA;10040455;Low
49;Center G;USA;10040166;Low
49;Center G;USA;10040496;Low
49;Center H;USA;10040057;Low
49;Center H;USA;10040327;Low
49;Center H;USA;10040387;Low
49;Center J;USA;10040429;Low
50;Center A;USA;10040470;Low
50;Center C;USA;10040002;Low
50;Center C;USA;10040422;Low
50;Center D;USA;10040063;Low
50;Center E;USA;10039934;Low
50;Center F;USA;10040425;Low
50;Center G;USA;10040056;Low
50;Center I;USA;10040098;Low
51;Center A;France;10018700;High
51;Center A;France;10018900;High
51;Center A;France;10018970;High
51;Center A;France;10040880;Low
51;Center A;France;10041470;Low
51;Center A;France;10041700;Low
51;Center A;Greater China;10022470;High
51;Center A;Greater China;10022640;High
51;Center A;Greater China;10022650;High
51;Center A;Greater China;10023800;High
51;Center A;Greater China;10024040;High
51;Center A;Greater China;10024140;High
51;Center A;Greater China;10024300;High
51;Center A;Greater China;10025080;High
51;Center A;Greater China;10025160;High
51;Center A;Greater China;10025170;High
51;Center A;Greater China;10025180;High
51;Center A;Greater China;10025270;High
51;Center A;Greater China;10025320;High
51;Center A;Greater China;10025620;High
51;Center A;Greater China;10025630;High
51;Center A;Greater China;10027250;High
51;Center A;Greater China;10042460;Low
51;Center A;Greater China;10042740;Low
51;Center A;Japan;10027900;High
51;Center A;Japan;10027940;High
51;Center A;Japan;10027980;High
51;Center A;Japan;10028680;High
51;Center A;Japan;10029780;High
51;Center A;Japan;10030570;High
51;Center A;Japan;10031130;High
51;Center A;Japan;10044290;Low
51;Center A;Japan;10044410;Low
51;Center A;Japan;10044420;Low
51;Center A;Spain;10019570;High
51;Center A;Spain;10019890;High
51;Center A;Spain;10019910;High
51;Center A;Spain;10020190;High
51;Center A;Spain;10020320;High
51;Center A;Spain;10021190;High
51;Center A;Spain;10021280;High
51;Center A;Spain;10021420;High
51;Center A;Spain;10041850;Low
51;Center A;Spain;10042350;Low
51;Center A;UK;10017500;High
51;Center A;UK;10017640;High
51;Center A;UK;10017770;High
51;Center A;UK;10017820;High
51;Center A;USA;10000280;High
51;Center A;USA;10000390;High
51;Center A;USA;10000440;High
51;Center A;USA;10001420;High
51;Center A;USA;10002390;High
51;Center A;USA;10002710;High
51;Center A;USA;10002850;High
51;Center A;USA;10003030;High
51;Center A;USA;10003170;High
51;Center A;USA;10003250;High
51;Center A;USA;10003750;High
51;Center A;USA;10004580;High
51;Center A;USA;10004650;High
51;Center A;USA;10004940;High
51;Center A;USA;10004970;High
51;Center A;USA;10005130;High
51;Center A;USA;10005300;High
51;Center A;USA;10005500;High
51;Center A;USA;10005740;High
51;Center A;USA;10005810;High
51;Center A;USA;10006240;High
51;Center A;USA;10007930;High
51;Center A;USA;10008000;High
51;Center A;USA;10008730;High
51;Center A;USA;10009050;High
51;Center A;USA;10010230;High
51;Center A;USA;10011160;High
51;Center A;USA;10011540;High
51;Center A;USA;10012050;High
51;Center A;USA;10012640;High
51;Center A;USA;10013150;High
51;Center A;USA;10013310;High
51;Center A;USA;10014030;High
51;Center A;USA;10014820;High
51;Center A;USA;10014910;High
51;Center A;USA;10015360;High
51;Center A;USA;10015580;High
51;Center A;USA;10015790;High
51;Center A;USA;10016320;High
51;Center A;USA;10016670;High
51;Center A;USA;10016810;High
51;Center A;USA;10031600;High
51;Center A;USA;10031750;High
51;Center A;USA;10031780;High
51;Center A;USA;10032290;High
51;Center A;USA;10032530;High
51;Center A;USA;10035350;High
51;Center A;USA;10035390;High
51;Center A;USA;10035660;High
51;Center A;USA;10035710;High
51;Center A;USA;10036200;High
51;Center A;USA;10036710;High
51;Center A;USA;10037100;High
51;Center A;USA;10037620;High
51;Center A;USA;10037830;High
51;Center A;USA;10038570;High
51;Center A;USA;10038880;High
51;Center A;USA;10039290;High
51;Center A;USA;10039850;High
51;Center A;USA;10039880;High
51;Center B;Australia;10045242;Low
51;Center B;France;10018751;High
51;Center B;France;10019121;High
51;Center B;France;10041551;Low
51;Center B;Germany;10041741;Low
51;Center B;Greater China;10022711;High
51;Center B;Greater China;10023201;High
51;Center B;Greater China;10023511;High
51;Center B;Greater China;10024071;High
51;Center B;Greater China;10025101;High
51;Center B;Greater China;10025351;High
51;Center B;Greater China;10025681;High
51;Center B;Greater China;10026091;High
51;Center B;Greater China;10026781;High
51;Center B;Greater China;10042471;Low
51;Center B;Greater China;10042641;Low
51;Center B;Greater China;10042721;Low
51;Center B;Japan;10027691;High
51;Center B;Japan;10027711;High
51;Center B;Japan;10027921;High
51;Center B;Japan;10028031;High
51;Center B;Japan;10028361;High
51;Center B;Japan;10029771;High
51;Center B;Japan;10029921;High
51;Center B;Japan;10030261;High
51;Center B;Japan;10030361;High
51;Center B;Japan;10030691;High
51;Center B;Japan;10030721;High
51;Center B;Japan;10030731;High
51;Center B;Japan;10030741;High
51;Center B;Japan;10030951;High
51;Center B;Japan;10031221;High
51;Center B;Japan;10042951;Low
51;Center B;Japan;10043271;Low
51;Center B;Japan;10044071;Low
51;Center B;Spain;10021991;High
51;Center B;Spain;10022111;High
51;Center B;UK;10017271;High
51;Center B;UK;10017731;High
51;Center B;UK;10018051;High
51;Center B;UK;10018121;High
51;Center B;UK;10018161;High
51;Center B;USA;10000061;High
51;Center B;USA;10000211;High
51;Center B;USA;10000271;High
51;Center B;USA;10000341;High
51;Center B;USA;10000481;High
51;Center B;USA;10000751;High
51;Center B;USA;10002041;High
51;Center B;USA;10002101;High
51;Center B;USA;10002261;High
51;Center B;USA;10002931;High
51;Center B;USA;10002941;High
51;Center B;USA;10003071;High
51;Center B;USA;10003321;High
51;Center B;USA;10003971;High
51;Center B;USA;10004451;High
51;Center B;USA;10004961;High
51;Center B;USA;10005081;High
51;Center B;USA;10005421;High
51;Center B;USA;10005531;High
51;Center B;USA;10005981;High
51;Center B;USA;10006271;High
51;Center B;USA;10007491;High
51;Center B;USA;10007871;High
51;Center B;USA;10008091;High
51;Center B;USA;10008911;High
51;Center B;USA;10009221;High
51;Center B;USA;10009711;High
51;Center B;USA;10010411;High
51;Center B;USA;10010951;High
51;Center B;USA;10011181;High
51;Center B;USA;10011581;High
51;Center B;USA;10011671;High
51;Center B;USA;10011921;High
51;Center B;USA;10012231;High
51;Center B;USA;10013221;High
51;Center B;USA;10013721;High
51;Center B;USA;10013921;High
51;Center B;USA;10014721;High
51;Center B;USA;10014921;High
51;Center B;USA;10014941;High
51;Center B;USA;10016011;High
51;Center B;USA;10016531;High
51;Center B;USA;10031781;High
51;Center B;USA;10032571;High
51;Center B;USA;10032671;High
51;Center B;USA;10032801;High
51;Center B;USA;10033681;High
51;Center B;USA;10034361;High
51;Center B;USA;10034691;High
51;Center B;USA;10035041;High
51;Center B;USA;10035481;High
51;Center B;USA;10036051;High
51;Center B;USA;10036321;High
51;Center B;USA;10036441;High
51;Center B;USA;10036661;High
51;Center B;USA;10036681;High
51;Center B;USA;10036811;High
51;Center B;USA;10036841;High
51;Center B;USA;10036891;High
51;Center B;USA;10036951;High
51;Center B;USA;10037881;High
51;Center B;USA;10039361;High
51;Center B;USA;10039681;High
51;Center B;USA;10040591;Low
51;Center C;Australia;10047280;High
51;Center C;Australia;10047340;High
51;Center C;Brazil;10045479;Low
51;Center C;Brazil;10050412;Low
51;Center C;Brazil;10050436;Low
51;Center C;Brazil;10050972;Low
51;Center C;Brazil;10051062;Low
51;Center C;Brazil;10051084;Low
51;Center C;Brazil;10051462;Low
51;Center C;Brazil;10051893;Low
51;Center C;Brazil;10052221;Low
51;Center C;France;10018632;High
51;Center C;France;10018922;High
51;Center C;France;10019212;High
51;Center C;France;10040972;Low
51;Center C;France;10041482;Low
51;Center C;Greater China;10022532;High
51;Center C;Greater China;10022642;High
51;Center C;Greater China;10022942;High
51;Center C;Greater China;10022992;High
51;Center C;Greater China;10023092;High
51;Center C;Greater China;10023642;High
51;Center C;Greater China;10023912;High
51;Center C;Greater China;10024592;High
51;Center C;Greater China;10024712;High
51;Center C;Greater China;10025422;High
51;Center C;Greater China;10026042;High
51;Center C;Greater China;10026352;High
51;Center C;Greater China;10026512;High
51;Center C;Greater China;10026732;High
51;Center C;Greater China;10027132;High
51;Center C;Greater China;10027462;High
51;Center C;Japan;10027522;High
51;Center C;Japan;10027902;High
51;Center C;Japan;10028462;High
51;Center C;Japan;10029402;High
51;Center C;Japan;10029432;High
51;Center C;Japan;10029472;High
51;Center C;Japan;10029782;High
51;Center C;Japan;10029792;High
51;Center C;Japan;10030522;High
51;Center C;Japan;10030962;High
51;Center C;Japan;10030972;High
51;Center C;Japan;10031492;High
51;Center C;Japan;10043332;Low
51;Center C;Japan;10043402;Low
51;Center C;Japan;10043482;Low
51;Center C;Japan;10043552;Low
51;Center C;Japan;10043732;Low
51;Center C;Japan;10044002;Low
51;Center C;Japan;10044142;Low
51;Center C;Japan;10044412;Low
51;Center C;Japan;10044432;Low
51;Center C;Japan;10044492;Low
51;Center C;Japan;10045102;Low
51;Center C;SouthAfrica;10045790;Low
51;Center C;SouthAfrica;10046130;Low
51;Center C;SouthAfrica;10046161;Low
51;Center C;SouthAfrica;10046870;Low
51;Center C;SouthAfrica;10046950;Low
51;Center C;SouthAfrica;10047210;Low
51;Center C;SouthAfrica;10047430;Low
51;Center C;SouthAfrica;10047450;Low
51;Center C;SouthAfrica;10048230;Low
51;Center C;SouthAfrica;10048361;Low
51;Center C;SouthAfrica;10049210;Low
51;Center C;SouthAfrica;10049450;High
51;Center C;SouthAfrica;10049981;Low
51;Center C;SouthAfrica;10050390;Low
51;Center C;Spain;10019912;High
51;Center C;Spain;10020952;High
51;Center C;Spain;10021412;High
51;Center C;Spain;10041942;Low
51;Center C;Spain;10042162;Low
51;Center C;UK;10018122;High
51;Center C;USA;10001042;High
51;Center C;USA;10002412;High
51;Center C;USA;10003952;High
51;Center C;USA;10003962;High
51;Center C;USA;10004222;High
51;Center C;USA;10004352;High
51;Center C;USA;10004532;High
