	Country	Date	value	Arima ForecastValue Future	Arima ForecastValue Validation	Arima MSE	Auto-Arima ForecastValue Future	Auto-Arima ForecastValue Validation	Auto-Arima MSE	Prophet ForecastValue Future	Prophet ForecastValue Validation	Prophet MSE	Regression ForecastValue Future	Regression ForecastValue Validation	Regression MSE	Regression Slope	Regression Slope Monthly Change Proj	Regression Trend Direction
77022	Finland	1997-01-01	21778.65															
77023	Finland	1998-01-01	23558.56															
77024	Finland	1999-01-01	24768.65															
77025	Finland	2000-01-01	26752.87															
77026	Finland	2001-01-01	27770.6															
77027	Finland	2002-01-01	28567.17															
77028	Finland	2003-01-01	28984.89															
77029	Finland	2004-01-01	31118.15															
77030	Finland	2005-01-01	31993.41															
77031	Finland	2006-01-01	34363.04															
77032	Finland	2007-01-01	37703.17															
77033	Finland	2008-01-01	39969.39															
77034	Finland	2009-01-01	37830.02															
77035	Finland	2010-01-01	38737.41															
77036	Finland	2011-01-01	40683.53															
77037	Finland	2012-01-01	40620.18															
77038	Finland	2013-01-01	41293.52															
77039	Finland	2014-01-01	41470.2															
77040	Finland	2015-01-01	42220.96															
77041	Finland	2016-01-01	43729.96															
77042	Finland	2017-01-01	46343.58															
77043	France	1990-01-01	17540.77															
77044	France	1991-01-01	18309.47															
77045	France	1992-01-01	18931.87															
77046	France	1993-01-01	19175.31															
77047	France	1994-01-01	19972.18															
77048	France	1995-01-01	20745.46															
77049	France	1996-01-01	21331.45															
77050	France	1997-01-01	22241.41															
77051	France	1998-01-01	23359.06															
77052	France	1999-01-01	24307.5															
77053	France	2000-01-01	26094.25															
77054	France	2001-01-01	27501.54															
77055	France	2002-01-01	28523.89															
77056	France	2003-01-01	28141.46															
77057	France	2004-01-01	29034.0															
77058	France	2005-01-01	30498.58															
77059	France	2006-01-01	32434.86															
77060	France	2007-01-01	34088.36															
77061	France	2008-01-01	35095.26															
77062	France	2009-01-01	34685.17															
77063	France	2010-01-01	35900.05															
77064	France	2011-01-01	37440.64															
77065	France	2012-01-01	37679.13															
77066	France	2013-01-01	39523.87															
77067	France	2014-01-01	40141.59															
77068	France	2015-01-01	40833.24															
77069	France	2016-01-01	41942.63															
77070	France	2017-01-01	44032.9															
77071	Germany	1990-01-01	19423.02															
77072	Germany	1991-01-01	20952.37															
77073	Germany	1992-01-01	21676.68															
77074	Germany	1993-01-01	21834.09															
77075	Germany	1994-01-01	22769.2															
77076	Germany	1995-01-01	23581.18															
77077	Germany	1996-01-01	24109.59															
77078	Germany	1997-01-01	24644.53															
77079	Germany	1998-01-01	25392.58															
77080	Germany	1999-01-01	26360.15															
77081	Germany	2000-01-01	27298.11															
77082	Germany	2001-01-01	28475.88															
77083	Germany	2002-01-01	29326.91															
77084	Germany	2003-01-01	29989.99															
77085	Germany	2004-01-01	31417.36															
77086	Germany	2005-01-01	31968.47															
77087	Germany	2006-01-01	34241.77															
77088	Germany	2007-01-01	36450.82															
77089	Germany	2008-01-01	38028.77															
77090	Germany	2009-01-01	37042.45															
77091	Germany	2010-01-01	39187.4															
77092	Germany	2011-01-01	42692.52															
77093	Germany	2012-01-01	43564.15															
77094	Germany	2013-01-01	45232.2															
77095	Germany	2014-01-01	47190.77															
77096	Germany	2015-01-01	47979.48															
77097	Germany	2016-01-01	49921.33															
77098	Germany	2017-01-01	52555.93															
77099	Greece	1990-01-01	13291.05															
77100	Greece	1991-01-01	13997.43															
77101	Greece	1992-01-01	14306.92															
77102	Greece	1993-01-01	14327.03															
77103	Greece	1994-01-01	14851.09															
77104	Greece	1995-01-01	15408.69															
77105	Greece	1996-01-01	16129.25															
77106	Greece	1997-01-01	17154.13															
77107	Greece	1998-01-01	18033.52															
77108	Greece	1999-01-01	18464.73															
77109	Greece	2000-01-01	19518.91															
77110	Greece	2001-01-01	20963.56															
77111	Greece	2002-01-01	22615.94															
77112	Greece	2003-01-01	23870.16															
77113	Greece	2004-01-01	25437.27															
77114	Greece	2005-01-01	25577.52															
77115	Greece	2006-01-01	28519.54															
77116	Greece	2007-01-01	29291.92															
77117	Greece	2008-01-01	30856.01															
77118	Greece	2009-01-01	30365.4															
77119	Greece	2010-01-01	28148.42															
77120	Greece	2011-01-01	26141.32															
77121	Greece	2012-01-01	25284.46															
77122	Greece	2013-01-01	26097.87															
77123	Greece	2014-01-01	26838.46															
77124	Greece	2015-01-01	26902.53															
77125	Greece	2016-01-01	27273.93															
77126	Greece	2017-01-01	28582.85															
77127	Hungary	1991-01-01	8311.21															
77128	Hungary	1992-01-01	8243.36															
77129	Hungary	1993-01-01	8399.63															
77130	Hungary	1994-01-01	8843.93															
77131	Hungary	1995-01-01	9176.63															
77132	Hungary	1996-01-01	9340.53															
77133	Hungary	1997-01-01	9822.41															
77134	Hungary	1998-01-01	10411.53															
77135	Hungary	1999-01-01	10894.75															
77136	Hungary	2000-01-01	11877.97															
77137	Hungary	2001-01-01	13230.98															
77138	Hungary	2002-01-01	14549.59															
77139	Hungary	2003-01-01	15468.3															
77140	Hungary	2004-01-01	16245.56															
77141	Hungary	2005-01-01	17081.77															
77142	Hungary	2006-01-01	18297.95															
77143	Hungary	2007-01-01	19030.13															
77144	Hungary	2008-01-01	20678.68															
77145	Hungary	2009-01-01	20651.76															
77146	Hungary	2010-01-01	21534.87															
77147	Hungary	2011-01-01	22841.21															
77148	Hungary	2012-01-01	23094.47															
77149	Hungary	2013-01-01	24464.14															
77150	Hungary	2014-01-01	25518.23															
77151	Hungary	2015-01-01	26356.31															
77152	Hungary	2016-01-01	26851.62															
77153	Hungary	2017-01-01	28798.64															
77154	Iceland	1990-01-01	21626.19															
77155	Iceland	1991-01-01	22050.48															
77156	Iceland	1992-01-01	21519.94															
77157	Iceland	1993-01-01	22093.36															
77158	Iceland	1994-01-01	23177.7															
77159	Iceland	1995-01-01	23563.11															
77160	Iceland	1996-01-01	24427.12															
77161	Iceland	1997-01-01	26796.57															
77162	Iceland	1998-01-01	28551.81															
77163	Iceland	1999-01-01	29344.43															
77164	Iceland	2000-01-01	29458.12															
77165	Iceland	2001-01-01	31507.91															
77166	Iceland	2002-01-01	32219.72															
77167	Iceland	2003-01-01	32340.4															
77168	Iceland	2004-01-01	35319.99															
77169	Iceland	2005-01-01	36965.14															
77170	Iceland	2006-01-01	38712.99															
77171	Iceland	2007-01-01	40787.15															
77172	Iceland	2008-01-01	42721.16															
77173	Iceland	2009-01-01	41203.35															
77174	Iceland	2010-01-01	39576.97															
77175	Iceland	2011-01-01	40767.24															
77176	Iceland	2012-01-01	41926.34															
77177	Iceland	2013-01-01	44157.55															
77178	Iceland	2014-01-01	45714.89															
77179	Iceland	2015-01-01	48728.1															
77180	Iceland	2016-01-01	52582.29															
77181	Iceland	2017-01-01	55322.08															
77182	Ireland	1990-01-01	13738.27															
77183	Ireland	1991-01-01	14393.95															
77184	Ireland	1992-01-01	15110.72															
77185	Ireland	1993-01-01	15806.04															
77186	Ireland	1994-01-01	17005.59															
77187	Ireland	1995-01-01	18937.56															
77188	Ireland	1996-01-01	20479.17															
77189	Ireland	1997-01-01	22625.58															
77190	Ireland	1998-01-01	25059.45															
77191	Ireland	1999-01-01	26995.2															
77192	Ireland	2000-01-01	30178.0															
77193	Ireland	2001-01-01	32545.57															
77194	Ireland	2002-01-01	35210.86															
77195	Ireland	2003-01-01	36237.86															
77196	Ireland	2004-01-01	38669.14															
77197	Ireland	2005-01-01	40438.11															
77198	Ireland	2006-01-01	44205.39															
77199	Ireland	2007-01-01	46759.64															
77200	Ireland	2008-01-01	44280.69															
77201	Ireland	2009-01-01	41620.83															
77202	Ireland	2010-01-01	43292.15															
77203	Ireland	2011-01-01	44937.56															
77204	Ireland	2012-01-01	46283.12															
77205	Ireland	2013-01-01	47966.91															
77206	Ireland	2014-01-01	51192.4															
77207	Ireland	2015-01-01	68959.55															
77208	Ireland	2016-01-01	70925.76															
77209	Ireland	2017-01-01	76744.71															
77210	Italy	1990-01-01	18547.41															
77211	Italy	1991-01-01	19456.17															
77212	Italy	1992-01-01	20051.93															
77213	Italy	1993-01-01	20339.53															
77214	Italy	1994-01-01	21216.39															
77215	Italy	1995-01-01	22286.23															
77216	Italy	1996-01-01	22968.13															
77217	Italy	1997-01-01	23818.97															
77218	Italy	1998-01-01	24946.91															
77219	Italy	1999-01-01	25531.62															
77220	Italy	2000-01-01	27027.19															
77221	Italy	2001-01-01	27932.62															
77222	Italy	2002-01-01	28641.56															
77223	Italy	2003-01-01	29081.29															
77224	Italy	2004-01-01	29447.35															
77225	Italy	2005-01-01	30051.77															
77226	Italy	2006-01-01	32331.96															
77227	Italy	2007-01-01	33996.49															
77228	Italy	2008-01-01	35402.92															
77229	Italy	2009-01-01	34513.97															
77230	Italy	2010-01-01	35008.07															
77231	Italy	2011-01-01	36347.34															
77232	Italy	2012-01-01	36237.11															
77233	Italy	2013-01-01	36131.13															
77234	Italy	2014-01-01	36070.81															
77235	Italy	2015-01-01	36836.43															
77236	Italy	2016-01-01	39043.4															
77237	Italy	2017-01-01	40923.7															
77238	Japan	1990-01-01	19561.2															
77239	Japan	1991-01-01	20849.02															
77240	Japan	1992-01-01	21451.67															
77241	Japan	1993-01-01	21792.34															
77242	Japan	1994-01-01	22402.27															
77243	Japan	1995-01-01	23409.64															
77244	Japan	1996-01-01	24515.12															
77245	Japan	1997-01-01	25146.2															
77246	Japan	1998-01-01	25074.06															
77247	Japan	1999-01-01	25325.71															
77248	Japan	2000-01-01	26838.69															
77249	Japan	2001-01-01	27472.55															
77250	Japan	2002-01-01	28160.11															
77251	Japan	2003-01-01	28924.68															
77252	Japan	2004-01-01	30348.04															
77253	Japan	2005-01-01	31663.45															
77254	Japan	2006-01-01	33090.2															
77255	Japan	2007-01-01	34501.51															
77256	Japan	2008-01-01	34798.77															
77257	Japan	2009-01-01	33198.62															
77258	Japan	2010-01-01	34986.99															
77259	Japan	2011-01-01	35774.7															
77260	Japan	2012-01-01	37191.39															
77261	Japan	2013-01-01	38974.08															
77262	Japan	2014-01-01	39179.16															
77263	Japan	2015-01-01	40446.88															
77264	Japan	2016-01-01	41306.75															
77265	Japan	2017-01-01	42066.58															
77266	Republic of Korea	1990-01-01	8273.41															
77267	Republic of Korea	1991-01-01	9345.82															
77268	Republic of Korea	1992-01-01	10044.19															
77269	Republic of Korea	1993-01-01	10875.12															
77270	Republic of Korea	1994-01-01	12008.47															
77271	Republic of Korea	1995-01-01	13299.16															
77272	Republic of Korea	1996-01-01	14433.0															
77273	Republic of Korea	1997-01-01	15406.22															
77274	Republic of Korea	1998-01-01	14621.3															
77275	Republic of Korea	1999-01-01	16392.81															
77276	Republic of Korea	2000-01-01	18082.95															
77277	Republic of Korea	2001-01-01	19168.22															
77278	Republic of Korea	2002-01-01	20775.11															
77279	Republic of Korea	2003-01-01	21376.77															
77280	Republic of Korea	2004-01-01	22936.81															
77281	Republic of Korea	2005-01-01	24196.42															
77282	Republic of Korea	2006-01-01	25820.97															
77283	Republic of Korea	2007-01-01	27822.28															
77284	Republic of Korea	2008-01-01	28655.98															
77285	Republic of Korea	2009-01-01	28325.21															
77286	Republic of Korea	2010-01-01	30365.28															
77287	Republic of Korea	2011-01-01	31228.51															
77288	Republic of Korea	2012-01-01	32097.16															
77289	Republic of Korea	2013-01-01	32615.77															
77290	Republic of Korea	2014-01-01	33587.58															
77291	Republic of Korea	2015-01-01	35760.73															
77292	Republic of Korea	2016-01-01	37142.83															
77293	Republic of Korea	2017-01-01	38824.12															
77294	Luxembourg	1990-01-01	29664.8															
77295	Luxembourg	1991-01-01	32875.6															
77296	Luxembourg	1992-01-01	33784.87															
77297	Luxembourg	1993-01-01	35557.6															
77298	Luxembourg	1994-01-01	37194.52															
77299	Luxembourg	1995-01-01	39635.72															
77300	Luxembourg	1996-01-01	41343.73															
77301	Luxembourg	1997-01-01	42846.11															
77302	Luxembourg	1998-01-01	44396.53															
77303	Luxembourg	1999-01-01	50627.93															
77304	Luxembourg	2000-01-01	55348.9															
77305	Luxembourg	2001-01-01	55894.8															
77306	Luxembourg	2002-01-01	58771.51															
77307	Luxembourg	2003-01-01	60039.3															
77308	Luxembourg	2004-01-01	64051.56															
77309	Luxembourg	2005-01-01	68220.06															
77310	Luxembourg	2006-01-01	77951.36															
77311	Luxembourg	2007-01-01	83981.74															
77312	Luxembourg	2008-01-01	86693.9															
77313	Luxembourg	2009-01-01	82278.2															
77314	Luxembourg	2010-01-01	85613.59															
77315	Luxembourg	2011-01-01	92005.02															
77316	Luxembourg	2012-01-01	91622.18															
77317	Luxembourg	2013-01-01	95590.54															
77318	Luxembourg	2014-01-01	101297.58															
77319	Luxembourg	2015-01-01	102780.44															
77320	Luxembourg	2016-01-01	105082.07															
77321	Luxembourg	2017-01-01	107640.56															
77322	Mexico	1990-01-01	6391.2															
77323	Mexico	1991-01-01	6760.11															
77324	Mexico	1992-01-01	7044.0															
77325	Mexico	1993-01-01	8369.13															
77326	Mexico	1994-01-01	8800.34															
77327	Mexico	1995-01-01	8267.74															
77328	Mexico	1996-01-01	8835.13															
77329	Mexico	1997-01-01	9445.46															
77330	Mexico	1998-01-01	9888.51															
77331	Mexico	1999-01-01	10155.49															
77332	Mexico	2000-01-01	10782.39															
77333	Mexico	2001-01-01	10830.86															
77334	Mexico	2002-01-01	10901.15															
77335	Mexico	2003-01-01	11204.26															
77336	Mexico	2004-01-01	11805.56															
77337	Mexico	2005-01-01	12369.76															
77338	Mexico	2006-01-01	13490.58															
77339	Mexico	2007-01-01	13949.43															
77340	Mexico	2008-01-01	14551.05															
77341	Mexico	2009-01-01	14174.92															
77342	Mexico	2010-01-01	14840.99															
77343	Mexico	2011-01-01	16049.36															
77344	Mexico	2012-01-01	16658.08															
77345	Mexico	2013-01-01	16848.04															
77346	Mexico	2014-01-01	17484.29															
77347	Mexico	2015-01-01	17699.16															
77348	Mexico	2016-01-01	18161.49															
77349	Mexico	2017-01-01	18655.92															
77350	Netherlands	1990-01-01	18901.03															
77351	Netherlands	1991-01-01	19859.72															
77352	Netherlands	1992-01-01	20503.24															
77353	Netherlands	1993-01-01	21105.36															
77354	Netherlands	1994-01-01	22060.91															
77355	Netherlands	1995-01-01	23110.92															
77356	Netherlands	1996-01-01	24224.08															
77357	Netherlands	1997-01-01	25726.38															
77358	Netherlands	1998-01-01	27358.55															
77359	Netherlands	1999-01-01	28946.1															
77360	Netherlands	2000-01-01	31596.97															
77361	Netherlands	2001-01-01	32836.88															
77362	Netherlands	2002-01-01	33991.06															
77363	Netherlands	2003-01-01	33703.44															
77364	Netherlands	2004-01-01	35415.72															
77365	Netherlands	2005-01-01	37265.35															
77366	Netherlands	2006-01-01	40597.4															
77367	Netherlands	2007-01-01	43479.16															
77368	Netherlands	2008-01-01	45843.89															
77369	Netherlands	2009-01-01	44045.26															
77370	Netherlands	2010-01-01	45040.32															
77371	Netherlands	2011-01-01	46599.02															
77372	Netherlands	2012-01-01	47272.1															
77373	Netherlands	2013-01-01	49241.52															
77374	Netherlands	2014-01-01	49233.22															
77375	Netherlands	2015-01-01	50302.07															
77376	Netherlands	2016-01-01	51338.57															
77377	Netherlands	2017-01-01	54422.01															
77378	New Zealand	1990-01-01	14871.41															
77379	New Zealand	1991-01-01	14569.67															
77380	New Zealand	1992-01-01	14912.81															
77381	New Zealand	1993-01-01	15939.0															
77382	New Zealand	1994-01-01	17042.79															
77383	New Zealand	1995-01-01	17907.47															
77384	New Zealand	1996-01-01	18464.03															
77385	New Zealand	1997-01-01	19137.14															
77386	New Zealand	1998-01-01	19343.24															
77387	New Zealand	1999-01-01	20579.37															
77388	New Zealand	2000-01-01	21521.53															
77389	New Zealand	2001-01-01	22500.48															
77390	New Zealand	2002-01-01	23306.28															
77391	New Zealand	2003-01-01	23967.42															
77392	New Zealand	2004-01-01	25080.31															
77393	New Zealand	2005-01-01	25677.1															
77394	New Zealand	2006-01-01	27758.17															
77395	New Zealand	2007-01-01	29385.9															
77396	New Zealand	2008-01-01	29860.37															
77397	New Zealand	2009-01-01	30699.66															
77398	New Zealand	2010-01-01	31253.05															
77399	New Zealand	2011-01-01	32734.54															
77400	New Zealand	2012-01-01	32986.03															
77401	New Zealand	2013-01-01	36219.58															
77402	New Zealand	2014-01-01	37283.1															
77403	New Zealand	2015-01-01	37562.48															
77404	New Zealand	2016-01-01	39420.76															
77405	New Zealand	2017-01-01	40747.61															
77406	Norway	1990-01-01	18432.5															
77407	Norway	1991-01-01	19550.27															
77408	Norway	1992-01-01	20591.34															
77409	Norway	1993-01-01	21550.32															
77410	Norway	1994-01-01	22991.95															
77411	Norway	1995-01-01	24322.56															
77412	Norway	1996-01-01	26791.01															
77413	Norway	1997-01-01	28605.26															
77414	Norway	1998-01-01	28186.27															
77415	Norway	1999-01-01	30555.34															
77416	Norway	2000-01-01	36956.38															
77417	Norway	2001-01-01	37786.84															
77418	Norway	2002-01-01	37959.79															
77419	Norway	2003-01-01	38533.09															
77420	Norway	2004-01-01	42486.4															
77421	Norway	2005-01-01	47772.43															
77422	Norway	2006-01-01	54079.76															
77423	Norway	2007-01-01	55896.78															
77424	Norway	2008-01-01	61757.25															
77425	Norway	2009-01-01	55437.53															
77426	Norway	2010-01-01	57965.53															
77427	Norway	2011-01-01	62145.03															
77428	Norway	2012-01-01	65447.5															
77429	Norway	2013-01-01	67056.12															
77430	Norway	2014-01-01	66015.44															
77431	Norway	2015-01-01	60519.97															
77432	Norway	2016-01-01	58138.44															
77433	Norway	2017-01-01	62182.84															
77434	Poland	1990-01-01	6175.62															
77435	Poland	1991-01-01	5915.54															
77436	Poland	1992-01-01	6183.53															
77437	Poland	1993-01-01	6549.98															
77438	Poland	1994-01-01	7029.08															
77439	Poland	1995-01-01	7664.96															
77440	Poland	1996-01-01	8255.15															
77441	Poland	1997-01-01	8922.24															
77442	Poland	1998-01-01	9471.44															
77443	Poland	1999-01-01	10022.4															
77444	Poland	2000-01-01	10652.91															
77445	Poland	2001-01-01	11101.97															
77446	Poland	2002-01-01	11781.06															
77447	Poland	2003-01-01	12257.14															
77448	Poland	2004-01-01	13341.1															
77449	Poland	2005-01-01	13895.92															
77450	Poland	2006-01-01	15142.18															
77451	Poland	2007-01-01	16787.97															
77452	Poland	2008-01-01	18310.44															
77453	Poland	2009-01-01	19246.45															
77454	Poland	2010-01-01	21048.33															
77455	Poland	2011-01-01	22850.64															
77456	Poland	2012-01-01	23833.21															
77457	Poland	2013-01-01	24719.25															
77458	Poland	2014-01-01	25612.26															
77459	Poland	2015-01-01	26826.23															
77460	Poland	2016-01-01	27735.35															
77461	Poland	2017-01-01	29923.71															
77462	Portugal	1990-01-01	11762.87															
77463	Portugal	1991-01-01	12721.16															
77464	Portugal	1992-01-01	13163.03															
77465	Portugal	1993-01-01	13183.43															
77466	Portugal	1994-01-01	13558.34															
77467	Portugal	1995-01-01	14385.59															
77468	Portugal	1996-01-01	14902.56															
77469	Portugal	1997-01-01	15791.05															
77470	Portugal	1998-01-01	16691.56															
77471	Portugal	1999-01-01	17723.46															
77472	Portugal	2000-01-01	18886.91															
77473	Portugal	2001-01-01	19540.62															
77474	Portugal	2002-01-01	20367.66															
77475	Portugal	2003-01-01	20840.88															
77476	Portugal	2004-01-01	21475.64															
77477	Portugal	2005-01-01	22739.59															
77478	Portugal	2006-01-01	24655.36															
77479	Portugal	2007-01-01	25705.95															
77480	Portugal	2008-01-01	26631.56															
77481	Portugal	2009-01-01	26469.1															
77482	Portugal	2010-01-01	27308.19															
77483	Portugal	2011-01-01	26780.21															
77484	Portugal	2012-01-01	26454.1															
77485	Portugal	2013-01-01	27899.51															
77486	Portugal	2014-01-01	28746.65															
77487	Portugal	2015-01-01	29684.69															
77488	Portugal	2016-01-01	31042.01															
77489	Portugal	2017-01-01	32554.3															
77490	Slovakia	1992-01-01	7135.35															
77491	Slovakia	1993-01-01	7428.52															
77492	Slovakia	1994-01-01	8026.26															
77493	Slovakia	1995-01-01	8648.08															
77494	Slovakia	1996-01-01	9360.74															
77495	Slovakia	1997-01-01	10068.38															
77496	Slovakia	1998-01-01	10613.2															
77497	Slovakia	1999-01-01	10700.71															
77498	Slovakia	2000-01-01	11356.66															
77499	Slovakia	2001-01-01	12371.36															
77500	Slovakia	2002-01-01	13294.49															
77501	Slovakia	2003-01-01	14139.74															
77502	Slovakia	2004-01-01	15188.19															
